ticker,company,price,marketCap,country,sector,industry,listing,need,need_score,viability,r1_score,flag,status,reason,y_industry,summary,y_ind,revGrowth,grossM,revenue
LZAGY,Lonza Group AG,74.07,52703272960.0,,Healthcare,,otc,health,26,20,46,,,,Diagnostics & Research,"Lonza Group AG, together with its subsidiaries, operates as a contract development and manufacturing organization for pharma and biotech companies in Europe, North and Central America, Latin America, Asia, Australia, New Zealand, and internationally. It operates through Integrated Biologics; Advanced Synthesis; and Specialized Modalities segments. The Integrated Biologics segment offers CDMO biologics services from clinical development, drug substance, and drug product manufacturing; and operates mammalian and drug product platforms. Its Advanced Synthesis segment manufactures antibody-drug conjugates (ADCs) and other bioconjugates, small molecules, and highly potent active pharmaceutical ingredients; and operates small molecules and bioconjugates platforms. The Specialized Modalities segment operates various technologies, such as spanning cell & gene, microbial, bioscience, and mRNA. Lonza Group AG was incorporated in 1897 and is headquartered in Basel, Switzerland.",Diagnostics & Research,0.112,0.37142,6871000064.0
MDLN,Medline Inc. Class A Common Stock,35.64,47951237120.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Instruments & Supplies,"Medline Inc. manufactures med-surg products serving the hospital, surgery centers, physician offices, post-acute facilities, and nursing home sites of care in the United States and Internationally. It operates through two segments: Medline Brand and Supply Chain Solutions. The Medline Brand segment procures and manufactures products from three product categories include surgical solutions, front line care, and laboratory and diagnostics. Its front line care offers med-surg products for patient-facing needs, including wound care products, exam gloves, skin care and incontinence products, environment cleaning supplies, textiles, hand sanitizer, durable medical equipment, patient plastics, and decolonization and infection control products. Its surgical solutions provide operating room and perioperative environment product solutions, including surgical procedure trays, drapes and gowns, personal protective equipment, sterile wraps, surgical instruments, surgeon's gloves, procedure kits, and orthopedic implants. Its laboratory and diagnostics offer laboratory and diagnostic product solutions, including point of care testing, analyzers and instrumentation, lab and diagnostic consumables, diagnostic instruments, vital signs monitors, and anatomic pathology and phlebotomy products. It provides its products to domestic and international consumers. The Supply Chain Solutions segment procures and distributes a variety of third-party products from national brands. It provides logistics a",Medical Instruments & Supplies,0.116,0.25094,29938999296.0
MMSI,Merit Medical Systems Inc. Common Stock,91.09,5439022080.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Instruments & Supplies,"Merit Medical Systems, Inc. designs, develops, manufactures, and markets single-use medical products for interventional, diagnostic, and therapeutic procedures in the United States, China, Japan, Germany, France, the United Kingdom, and internationally. It operates through two segments, Cardiovascular and Endoscopy. The company offers micropuncture kits, angiographic needles, sheaths, guide wires, and safety products; peripheral intervention products comprising angiography, drainage, delivery systems, and embolotherapy products; oncology products, such as soft tissue biopsy products and accessories; cardiac intervention products consisting of cardiac access, angiography, electrophysiology and cardiac rhythm management, fluid management, hemodynamic monitoring, hemostasis, and intervention products; and spine products, including vertebral augmentation, radiofrequency ablation, and bone biopsy systems. It also provides custom procedural solutions, including critical care products, syringes, manifold kits, and trays and packs; coating services for medical tubes and wires; and sensor components for microelectromechanical systems. In addition, the company offers gastroenterology products, such as esophageal stents, cryoballoon and inflation devices, gauges, and balloon dilators; pulmonary products consisting of laser-cut tracheobronchial stents, and over-the-wire and direct visualization delivery systems; and kits and accessories for endoscopy and bronchoscopy procedures. It sells",Medical Instruments & Supplies,0.095,0.49514,1578813056.0
MTD,Mettler-Toledo International Inc. Common Stock,1402.25,28096266240.0,Switzerland,Industrials,Biotechnology: Laboratory Analytical Instruments,exchange,health,26,20,46,,,,Diagnostics & Research,"Mettler-Toledo International Inc. manufactures and supplies precision instruments and services in the Americas, Europe, Asia, and internationally. It operates through five segments: U.S. Operations, Swiss Operations, Western European Operations, Chinese Operations, and Other Operations. The company offers laboratory instruments, such as laboratory balances, liquid pipetting solutions, real-time analytics, titrators, pH meters, process analytics sensors and analyzer technologies, density and refractometry instruments, and thermal analysis systems; and other analytical instruments, including UV/VIS spectrophotometers, moisture analyzers, and cell counters, as well as LabX, a laboratory software platform to manage and analyze data generated by its instruments and automate workflows. It also provides industrial instruments comprising industrial weighing instruments and related terminals, automatic dimensional measurement and data capture solutions, vehicle scale systems, industrial software, metal detectors, x-ray systems, checkweighers, and camera-based imaging equipment. In addition, the company offers retail weighing solutions consisting of weighing and software solutions, AI-driven image recognition solutions for fresh goods, and automated packaging and labeling solutions for the meat backroom. The company serves pharmaceutical and biotech companies, independent research organizations, and testing labs; food manufacturers and retailers; chemical, specialty chemicals, and cosm",Diagnostics & Research,0.045,0.60256,4133874944.0
MMED,MiniMed Group Inc. Common Stock,18.92,5323140608.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Instruments & Supplies,"MiniMed Group, Inc. operates as a medical technology company that develops, manufactures, and markets medical equipment for the management of diabetes. The company offers technologies including insulin delivery devices, such as insulin pumps and pens, continuous glucose monitors, other consumables, supplies, and related software and services. It serves people with diabetes who require insulin therapy, which represents all people with T1D and a subset of those with T2D. The company's platform includes Automated Insulin Delivery (AID) systems for glucose sensing and automated insulin dosing and administration for glycemic control and Smart Multiple Daily Injection (MDI) systems for self-administering insulin by manual injections, which include InPen, Simplera Sync, or Guardian 4 sensor, and wraparound applications and services. It also offers CareLink, a software platform that provides support for person with diabetes, their caretakers, and HCPS. MiniMed Group, Inc. was founded in 1983 and is headquartered in Northridge, California. MiniMed Group, Inc. operates as a subsidiary of Medtronic plc.",Medical Instruments & Supplies,0.156,0.57060003,3102000128.0
NEOG,Neogen Corporation Common Stock,11.64,2538753792.0,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,exchange,health,26,20,46,,,,Medical Devices,"Neogen Corporation develops, manufactures, and markets various products and services for food and animal safety in the United States and internationally. It operates through Food Safety and Animal Safety segments. The company offers diagnostic test kits and complementary products to detect dangerous and/or unintended substances in human food and animal feed, such as foodborne pathogens, spoilage organisms, natural toxins, food allergens, ruminant by-products, meat speciation, drug residues, pesticide residues, and general sanitation concerns for food producers and processors. It also provides reagents and test kits used in immunoassay production, forensic and animal toxicology, and life science research; unique colorimetric and chemiluminescent substrates for research use; veterinary instruments and delivery systems used for administering antibiotics and vaccines under the Ideal and Prima Tech brands; and precision instruments designed for injections, topical and oral administration, artificial insemination, and animal identification for farmers, ranchers, and veterinarian under the Prima Tech brand. In addition, the company offers digestive aids and nutritional supplements; Natural Vitamin E-AD to address vitamin deficiencies in swine, cattle, and sheep; RenaKare; companion animal parasiticides under Provecta brand; BotVax B; EqStim; ImmunoRegulin, used in dogs to assist in managing pyoderma; companion animal parasiticides under the Provecta brand; rodent and insect control ",Medical Devices,-0.001,0.46932,870400000.0
NVCR,NovoCure Limited Ordinary Shares,17.62,2051775744.0,Jersey,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Devices,"NovoCure Limited, an oncology company, engages in the development, manufacture, and commercialization of tumor treating fields (TTFields) devices for the treatment of solid tumor cancers in the United States, Germany, France, Japan, Greater China, and internationally. Its TTFields devices include Optune Gio, Optune Lua, and Optune Pax. The company also has ongoing clinical trials investigating TTFields in brain metastases, gastric cancer, glioblastoma, liver cancer, non-small cell lung cancer, pancreatic cancer, and ovarian cancer. NovoCure Limited was incorporated in 2000 and is headquartered in Baar, Switzerland.",Medical Devices,0.156,0.76371,699193024.0
OLYMY,Olympus Corporation,13.59,14444168192.0,,Healthcare,,otc,health,26,20,46,,,,Medical Devices,"Olympus Corporation, together with its subsidiaries, engages in the manufacture and sale of medical equipment in Japan, America, the Middle East, Asia, and Oceania. It operates through two segments, Gastrointestinal Solutions and Surgical & Interventional Solutions. The company offers gastrointestinal Solutions products offer gastrointestinal endoscopes, gastroenterology devices, and medical services. The Surgical & Interventional Solutions provides urology, respiratory, surgical endoscopes, energy devices, ENT products, and gynecology products. It also provides respiratory products comprising bronchoscopy systems and devices, lung cancer products, and chronic obstructive pulmonary disease products; urology products consisting of visualization, stone management, benign prostatic hyperplasia (BPH), and BPH + bladder cancer products; surgical products, such as surgical endoscopy systems, advanced energy devices, surgical microscope, integrated procedure room solutions, and rhino-laryngoscopy systems, as well as surgical devices for the ears, nose, and throat. The company was formerly known as Olympus Optical Co., Ltd. and changed its name to Olympus Corporation in October 2003. Olympus Corporation was incorporated in 1919 and is headquartered in Hachioji, Japan.",Medical Devices,0.164,0.64696,1044564017152.0
PEN,Penumbra Inc. Common Stock,324.37,12776747008.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Devices,"Penumbra, Inc., together with its subsidiaries, designs, develops, manufactures, and markets medical devices in the United States and internationally. It offers computer-assisted vacuum thrombectomy; peripheral thrombectomy products, including the Indigo System for power aspiration of thrombus in the body; Lightning Flash, a mechanical thrombectomy system; Lightning Bolt 7, an arterial thrombectomy system; and CAT RX. It also provides access products, including guide catheters and the Penumbra distal delivery catheters under the Neuron, Neuron MAX, BENCHMARK, BMX, DDC, Access25; MIDWAY, and PX SLIM brands; Penumbra System, an integrated mechanical thrombectomy system comprising reperfusion catheters and separators, the 3D Revascularization device, aspiration tubing, aspiration pump, and other components and accessories under the Penumbra RED, SENDit, JET, ACE, BMX, Max, 3D Revascularization Device, and Penumbra ENGINE brands; and neuro embolization coiling systems that include the Penumbra Coil 400, for the treatment of aneurysms and other complex lesions, detachable coils of neurovascular lesions under the Penumbra SMART COIL, SwiftSET, and Penumbra SwiftPAC Coil brands; and POD400 and PAC400 brands. In addition, it provides peripheral embolization products, such as Ruby Embolization Platform, which consists of detachable coils for peripheral applications; Ruby LP and XL Embolization Platform; Penumbra LANTERN Delivery Microcatheter, a low-profile microcatheter with a high-f",Medical Devices,0.149,0.6784,1504873984.0
PLSE,Pulse Biosciences Inc Common Stock (DE),49.0,3494807808.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Instruments & Supplies,"Pulse Biosciences, Inc. operates as a novel bioelectric medicine company. It offers nPulse System, a novel Nanosecond Pulsed-Field Ablation delivery platform to treat benign lesions of the skin; nPulse Vybrance Percutaneous Electrode system for soft tissue ablation in surgical setting; nPulse Cardiac Surgical Clamp designed for use in surgical treatment of atrial fibrillation (AF); nPulse Cardiac Catheter System designed to provide a circumferential, or circular, ablation in a single treatment cycle; and nPulse Console, a software-enabled console-based platform designed to accommodate the clinical workflow preferred by physicians. The company was formerly known as Electroblate, Inc. and changed its name to Pulse Biosciences, Inc. in December 2015. Pulse Biosciences, Inc. was incorporated in 2014 and is headquartered in Miami, Florida.",Medical Instruments & Supplies,,0.00253,1185000.0
RSMDF,ResMed Inc.,24.525,35377876992.0,,Healthcare,,otc,health,26,20,46,,,,Medical Instruments & Supplies,"ResMed Inc. engages in the digital health and cloud-connected medical devices business in the United States and internationally. It operates in two segments, Sleep and Breathing Health, and Residential Care Software. The company offers sleep recorders for the diagnosis and titration of sleep apnea in sleep clinics, hospitals, and at home, including ApneaLink Air, a portable diagnostic device that measures oximetry, respiratory effort, pulse, nasal flow, and snoring; NightOwl, a portable, cloud-connected, and disposable diagnostic device that measures AHI based on derived peripheral arterial tone, actigraphy, and oximetry; and EasyCare Tx, a sleep lab solution. It also provides AirView, a cloud-based system that enables remote monitoring and changing of patients' device settings; myAir, a personalized therapy management application for patients with sleep apnea that provides support, education, and troubleshooting tools for increased patient engagement and improved compliance; and connectivity module which provides a cellular connection between compatible ventilation devices and AirView system. In addition, the company offers Brightree solutions which are solutions and services for organizations in home medical equipment and pharmacy, orthotic and prosthetic, and home infusion; HEALTHCAREfirst solutions that offers electronic health record, software, billing and coding services, and advanced analytics that enables home health and hospice agencies to optimize clinical, financia",Medical Instruments & Supplies,0.086,0.61618,5653443072.0
RMD,ResMed Inc. Common Stock,236.59,34128652288.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Instruments & Supplies,"ResMed Inc. engages in the digital health and cloud-connected medical devices business in the United States and internationally. It operates in two segments, Sleep and Breathing Health, and Residential Care Software. The company offers sleep recorders for the diagnosis and titration of sleep apnea in sleep clinics, hospitals, and at home, including ApneaLink Air, a portable diagnostic device that measures oximetry, respiratory effort, pulse, nasal flow, and snoring; NightOwl, a portable, cloud-connected, and disposable diagnostic device that measures AHI based on derived peripheral arterial tone, actigraphy, and oximetry; and EasyCare Tx, a sleep lab solution. It also provides AirView, a cloud-based system that enables remote monitoring and changing of patients' device settings; myAir, a personalized therapy management application for patients with sleep apnea that provides support, education, and troubleshooting tools for increased patient engagement and improved compliance; and connectivity module which provides a cellular connection between compatible ventilation devices and AirView system. In addition, the company offers Brightree solutions which are solutions and services for organizations in home medical equipment and pharmacy, orthotic and prosthetic, and home infusion; HEALTHCAREfirst solutions that offers electronic health record, software, billing and coding services, and advanced analytics that enables home health and hospice agencies to optimize clinical, financia",Medical Instruments & Supplies,0.086,0.61618,5653443072.0
RVTY,Revvity Inc. Common Stock,124.84,13930445824.0,United States,Industrials,Biotechnology: Laboratory Analytical Instruments,exchange,health,26,20,46,,,,Diagnostics & Research,"Revvity, Inc. provides health sciences solutions, technologies, and services. The company offers instruments, reagents, software, subscriptions, detection and imaging technologies, extended warranties, training and services; and instruments, reagents, assay platforms and software products for early detection of common and rare conditions, such as pregnancy and early childhood, as well as infectious disease testing in the diagnostics market. Its products are used for testing and screening genetic abnormalities, disorders, and diseases, including down syndrome, hypothyroidism, muscular dystrophy, infertility, and various metabolic conditions. The company also develops technologies that enable and support genomic workflows using protein coupled receptor and next-generation DNA sequencing for oncology, immunodiagnostics, and drug discovery. It serves pharmaceutical and biotechnology companies, laboratories, academic and research institutions, public health authorities, private healthcare organizations, doctors, and government agencies under the AutoDELFIA, chemagic, Chitas, CNGnome, DELFIA, DELFIA Xpress, EONIS, EUROArray , EUROIMMUN, EUROLabWorkstation, EUROLINE, EUROPattern, Evolution Evoya, GSP, Haoyuan, IDS Immunodiagnosticsystems, IDS-i10, IDS-i10T, IDS-i20, IDS-iSYS, iLab, iQ, LifeCycle, LimsLink, Migele, NeoBase, NeoLSD, NEXTFLEX, Panthera Puncher, PreNAT II, Prime, RONIA, SimplicityChrom, Specimen Gate, Superflex, Symbio, T-SPOT, Vanadis, ViaCord, VICTOR2, and WholePanel ",Diagnostics & Research,0.013,0.54976004,2911811072.0
SUVPF,Sartorius Aktiengesellschaft,270.289,18664073216.0,,Healthcare,,otc,health,26,20,46,,,,Medical Instruments & Supplies,"Sartorius Aktiengesellschaft provides bioprocess solutions, and lab products and services worldwide. The company offers analytical solutions, such as biolayer interferometry systems, high-throughput screening by cytometry systems, process analytical technology and data analytics, cell selection and retrieval, live-cell imaging and analysis systems, and surface plasmon resonance systems; cell culture solutions, including bioreactors and fermenters, cell culture reagents, supplements and matrices, nucleic acid and delivery solutions, cell culture media, and cell lines and buffers; and fluid management products. It also provides lab filtration and purification solutions, lab water purification systems, microtissue technologies, lab weighing, pipettes, tips and dispensers, microbiological testing solutions, lab data and fleet management software, and OEM solutions; and Process chromatography and filtration solutions. The company serves the life science research, biopharmaceutical manufacturing, cell and gene therapy, and applied industries. The company was founded in 1870 and is headquartered in Göttingen, Germany.",Medical Instruments & Supplies,0.031,0.4571,3581700096.0
SNNUF,Smith & Nephew plc,15.75,13182950400.0,,Healthcare,,otc,health,26,20,46,,,,Medical Devices,"Smith & Nephew plc, together with its subsidiaries, develops, manufactures, markets, and sells medical devices and services in the United Kingdom, the United States, and internationally. The company operates in three segments: Orthopaedics, Sports Medicine & ENT, and Advanced Wound Management. It offers knee implant products for knee replacement procedures; hip implants for revision procedures; trauma and extremities products that include internal and external devices used in the stabilization of severe fractures and deformity correction procedures; and other reconstruction products. The company also provides sports medicine joint repair products comprise instruments, technologies, and implants to perform minimally invasive surgery, as well as treating soft tissue injuries and degenerative conditions of the shoulder, knee, hip, and small joints. In addition, it provides arthroscopic enabling technologies comprising fluid management equipment for surgical access, cameras, digital image capture, scopes, light sources, and monitors to assist with visualization inside the joints, radio frequency, electromechanical and mechanical tissue resection devices, and hand instruments for removing damaged tissue; and ear, nose, and throat solutions. Further, the company offers advanced wound care products for the treatment and prevention of acute and chronic wounds, leg, diabetic and pressure ulcers, burns, and post-operative wounds; advanced wound bioactives, such as biologics and other b",Medical Devices,0.046,0.68444,6300000256.0
SOLV,Solventum Corporation Common Stock,91.61,15594195968.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Instruments & Supplies,"Solventum Corporation, a healthcare company, develops, manufactures, and commercializes a portfolio of solutions to address critical customer and patient needs in the United States and internationally. It operates through three segments: Medsurg, Dental Solutions, and Health Information Systems. The Medsurg segment offers solutions, such as negative pressure wound therapy, advanced wound dressings, advanced skin care, synthetic tissue matrices, I.V. site management, sterilization assurance, temperature management, surgical supplies, medical tapes and wraps, stethoscopes, medical electrodes, and medical technologies for original equipment manufacturers. The Dental Solutions segment provides dental and orthodontic products, including brackets, aligners, restorative cements, and bonding agents to span the life of the tooth, and products for preventative dental care, direct and indirect restoration, and orthodontic needs. The Health Information Systems segment offers healthcare systems with software solutions comprising computer-assisted physician documentation, direct-to-bill and coding automation, classification methodologies, speech recognition, and data visualization platforms. The company sells its products and services through direct-to-consumer, distribution, key account management, inside sales, and e-commerce. Solventum Corporation was incorporated in 2023 and is headquartered in Eagan, Minnesota.",Medical Instruments & Supplies,0.022,0.54777,8310000128.0
SONVY,Sonova Holding AG,61.09,18145134592.0,,Healthcare,,otc,health,26,20,46,,,,Medical Devices,"Sonova Holding AG manufactures and sells hearing care solutions for children and adults in Switzerland, the United States, rest of the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through Hearing Instruments, Cochlear Implants, and Lifestyle-Aligned segments. The Hearing Instruments segment engages in the design, development, manufacture, distribution, and service of hearing instruments and related products, as well as wireless headsets, speech-enhanced hearables, and audiophile headphones under the Phonak, Unitron, Hansaton, and Sennheiser brand names; and audiological care services under the AudioNova, Audition Santé, Boots Hearingcare, Connect Hearing, Geers, Hansaton, Lapperre, Schoonenberg, and Triton Hearing brands. The Cochlear Implants segment is involved in the design, development, manufacture, distribution, and service of hearing instruments and related products under the Advanced Bionics brand. The Lifestyle-Aligned segment designs connected solutions and integrating AI and digital capabilities. It sells its products directly to end consumers through its own store network; wholesales to independent audiologists, third party retail chains, and multinational and government customers; and provides hearing care services through a network of stores and clinics. The company was formerly known as Phonak Holding AG and changed its name to Sonova Holding AG in August 2007. Sonova Holding AG was founded in 1947 and is headquartered in Stäfa, S",Medical Devices,,0.73721004,3605900032.0
STVN,Stevanato Group S.p.A. Ordinary Shares,22.7,6199964160.0,Italy,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Instruments & Supplies,"Stevanato Group S.p.A. engages in the design, production, and distribution of products and processes to provide solutions for biopharma and healthcare industries in Europe, the Middle East, Africa, North America, South America, and the Asia Pacific. It operates through two segments, Biopharmaceutical and Diagnostic Solutions; and Engineering. The company offers drug containment solutions comprising pre-fillable syringes, cartridges, vials, and ampoules; in-vitro diagnostic solutions; drug delivery systems, including pen injectors, auto-injectors, and wearable injectors; diagnostic laboratory consumables; analytical and regulatory support services; medical devices; pharmaceutical visual inspection machines; assembling and packaging machines; glass converting machines; and after-sales services, such as line optimization and line conversions, training, logistics, spare parts and maintenance services. It also provides contract development and manufacturing services for customer-owned drug delivery devices. The company serves pharmaceutical, biotechnology, diagnostics, and life sciences companies; and drug products, glass packaging, and fill and finish contract manufacturers. The company was founded in 1949 and is headquartered in Piombino Dese, Italy. Stevanato Group S.p.A. is a subsidiary of Stevanato Holding S.R.L.",Medical Instruments & Supplies,0.078,0.29399002,1225227008.0
SAUHF,Straumann Holding AG,132.6,21263562752.0,,Healthcare,,otc,health,26,20,46,,,,Medical Instruments & Supplies,"Straumann Holding AG provides tooth replacement and orthodontic solutions in Switzerland, the United States, China, Germany, Brazil, Japan, France, and internationally. It operates through Sales Europe, Middle East and Africa; Sales North America; Sales Asia Pacific; Sales Latin America; and Operations segments. The company offers dental implants, instruments, CADCAM prosthetics, orthodontic and clear aligners, biomaterials, and digital equipment and solutions for use in tooth correction, replacement, and restoration, as well as to prevent tooth loss. It also provides implant systems, components, and related instruments, as well as healing components, materials and surfaces, surgical sets and instruments, and guided surgery and navigation products; prosthetics, including angled solutions, connections, components, and molar solutions; intra-oral and lab scanners, milling machines, dynamic navigation systems, and 3D printers; consumables, such as blocks, discs, resins, titanium bases, and abutment blanks, as well as scan bodies, analogs, and sleeves; online education; and dentists and dental labs solutions. In addition, the company offers regenerative solutions for tooth preservation, implant-site management, and implant preservation; scanner hardware, software licenses, sterile-packaged products, customer training, and other products; and logistics and supply chain services. Further, it provides thermoplastics; implant treatment referral; high-tech materials; artificial intell",Medical Instruments & Supplies,0.023,0.69259,2636663040.0
SYK,Stryker Corporation Common Stock,330.59,126805417984.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Devices,"Stryker Corporation operates as a medical technology company in the United States and internationally. It operates through two segments, MedSurg and Neurotechnology, and Orthopaedics. The MedSurg and Neurotechnology segment offers surgical equipment, patient and caregiver safety technologies, navigation systems, endoscopic and communications systems, patient handling, emergency medical equipment and intensive care disposable products, clinical communication and artificial intelligence-assisted virtual care platform technology, and minimally invasive products for the treatment of acute ischemic and hemorrhagic stroke and venous thromboembolism; traditional brain and open skull based surgical procedures products; and orthobiologic and biosurgery products, including synthetic bone grafts and vertebral augmentation products. The Orthopaedics segment provides implants for use in total joint replacements, such as hip, knee and shoulder, ankle, and trauma and extremities surgeries; and Mako Shoulder, which expands the smart robotics suite of applications. The company sells its products to doctors, hospitals, and other healthcare facilities through company-owned subsidiaries and branches, as well as third-party dealers and distributors in approximately 61 countries. Stryker Corporation was founded in 1941 and is headquartered in Portage, Michigan.",Medical Devices,0.094,0.65588,25837000704.0
SSMXY,Sysmex Corporation,12.35,7435216384.0,,Healthcare,,otc,health,26,20,46,,,,Medical Devices,"Sysmex Corporation engages in the development, manufacture, and sale of diagnostic instruments, reagents, and related software. It offers hematology, a major test routinely included in blood tests; Flow Cytometry (FCM) analyzes cell properties by irradiating individual cells with a laser and measuring the intensity of light scattering and fluorescence; urinalysis test checks for the presence of glucose, proteins, and blood in urine; clinical chemistry; hemostasis; immunochemistry; cancer gene testing; and antimicrobial susceptibility testing. The company also provides Caresphere, an ICT solution, which integrates and analyzes real time various data managed through testing instruments and clinical testing information systems, and supports the efficient operation of clinical laboratories; and involved in the medical robotics business. It serves products and services to medical institutions, clinical laboratories, animal hospitals, and research institutes. The company was formerly known as TOA Medical Electronics Co., Ltd. and changed its name to Sysmex Corporation in October 1998. Sysmex Corporation was founded in 1968 and is headquartered in Kobe, Japan.",Medical Devices,0.236,0.50963,524948996096.0
TCHBF,Tecan Group AG,238.9,2943679744.0,,Healthcare,,otc,health,26,20,46,,,,Medical Instruments & Supplies,"Tecan Group AG provides laboratory instruments and solutions in biopharmaceuticals, forensics, and clinical diagnostics in Europe, North America, Asia, and internationally. It operates in two segments: Life Sciences Business and Partnering Business. The company offers liquid handling and automation, microplate readers and washers, software, consumables, sequencing reagents, immunoassays and antibodies, and Tecan Labwerx, an end-to-end automation solution. It also provides PARAMIT, a contract design and manufacturing service. Tecan Group AG has a strategic collaboration with NVIDIA Corporation to develop AI-enabled platform for data-driven laboratories to help discoveries and lab productivity. The company was founded in 1980 and is headquartered in Männedorf, Switzerland.",Medical Instruments & Supplies,-0.027,0.3406,870529984.0
TFX,Teleflex Incorporated Common Stock,140.18,5939762176.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Instruments & Supplies,"Teleflex Incorporated designs, develops, manufactures, and supplies single-use medical devices for common diagnostic and therapeutic procedures in critical care and surgical applications in the United States, Europe, the Middle East, Africa, the Asia Pacific, and internationally. The company offers vascular and emergency medicine products comprising Arrow branded catheters, catheter navigation and tip positioning systems, and intraosseous bone access systems for the administration of intravenous therapies, measurement of blood pressure, and collection of blood samples; intraosseous access systems consisting of EZ-IO intraosseous vascular access systems, and Arrow FAST1 sternal intraosseous infusion systems; and hemostatic products, including external hemostats and trauma products under the QuikClot brand. It also provides interventional products, including various coronary catheters, structural heart support devices, and peripheral intervention products platforms; GuideLiner, Turnpike, and TrapLiner catheters; MANTA vascular closure devices and Arrow OnControl powered bone biopsy systems; and coronary and peripheral medical devices, such as drug-coated balloons, stents, and balloon catheters. In addition, the company offers surgical products, including metal and polymer ligating clips using manual and automatic applier system, fascial closure surgical systems used in laparoscopic surgical procedures, percutaneous surgical systems, powered bariatric staplers, and other surgica",Medical Instruments & Supplies,0.289,0.55108,2254523904.0
TRUMY,Terumo Corporation,16.29,24029403136.0,,Healthcare,,otc,health,26,20,46,,,,Medical Instruments & Supplies,"Terumo Corporation engages in the manufacture and sale of medical products and equipment in Japan, Europe, China, the United States, Asia, and internationally. The company operates through four segments: Cardiac and Vascular Company, Medical Care Solutions Company, Blood and Cell Technologies Company, and Terumo Organ Technologies. The Cardiac and Vascular Company segment offers angiographic guidewires, angiographic catheters, introducer sheaths, vascular closure devices, PTCA balloon catheters, coronary stents, self-expanding peripheral stents, intravascular ultrasound systems, imaging catheters, and others; coils, stents, and intrasaccular devices for treating cerebral aneurysm; embolization systems, aspiration catheters, and clot retrievers for treating ischemic stroke and others; oxygenators, cardio-pulmonary bypass systems, and others; and artificial vascular stent grafts, and others. The Medical Care Solutions Company segment provides syringes, infusion pumps, syringe pumps, infusion lines, I.V. solutions, peritoneal dialysis fluids, pain management adhesion barriers, and others; blood glucose monitoring systems, disposable needles for pen-injector, insulin patch pumps, blood pressure monitors, digital thermometers, and others; and contract manufacturing of prefilled syringes, devices to pharmaceutical companies for use in drug kits, such as prefillable syringes, needles for pharmaceutical packaging business, and others. The Blood and Cell Technologies Company segment o",Medical Instruments & Supplies,0.199,0.53221,1183721979904.0
UFPT,UFP Technologies Inc. Common Stock,304.21,2356346624.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Devices,"UFP Technologies, Inc., together with its subsidiaries, designs and manufactures solutions for medical devices, sterile packaging, and other engineered custom products in the United States. The company provides protective drapes for robotic surgery, patient handling and comfort, advanced wound care, infection prevention, disposables for surgical and endoscopic procedures, packaging for medical devices, orthopedic implants, components for cardiac implants, dispenser coils for catheters, and biopharma drug manufacturing. It also offers equipment protection and packaging for firearms, unmanned aerial vehicles/drones, weapon systems, electronic devices communications equipment, and tools and repair kits; cushion and protective packaging; acoustic and thermal insulation components for automotive, aerospace, consumer, and industrial; filtration for small engines, air conditioners, humidifiers, refrigerators, electronic air cleaners, forced air appliances and industrial compressors; fluid management; and seals and gaskets for automotive manufacturing chemical processing, building and construction applications. In addition, the company provides uniform and tactical gear, such as backpack straps and padding, uniform knee and elbow pads, duty belts, holsters, and helmet padding and others; sports and leisure including custom helmet linings, athletic braces, and shoe insoles; and trim and structural components, consist of load floors, sunshades, package trays, back panel, and seat backs",Medical Devices,0.151,0.28496,631638976.0
