ticker,company,price,marketCap,country,sector,industry,listing,need,need_score,viability,r1_score,flag,status,reason,y_industry
BSPM,"Biostar Pharmaceuticals, Inc.",0.0001,263.0,,,,otc,health,20,0,20,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BTAX,Biostax Corp.,0.0001,7871.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BSEM,BioStem Technologies Inc. Common Stock,3.81,68006485.0,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),exchange,health,20,12,32,binary-science-risk,,,
BIOYF,BioSyent Inc.,11.25,127267144.0,,Healthcare,,otc,health,22,15,37,,,,Drug Manufacturers - Specialty & Generic
BTMD,Biote Corp. Class A Common Stock,1.58,56765399.0,United States,Health Care, Medicinal Chemicals and Botanical Products ,exchange,health,20,12,32,,,,
BMCS,"BioTech Medics, Inc.",0.001,205356.0,,,,otc,health,20,0,20,,reject,market cap $0.2M < $10M - fails survivability prior (shell/nano-cap),
BTCY,BIOTRICITY INC.,0.11468,2320589.0,,Healthcare,,sec_only,health,26,2,28,,reject,market cap < $10M - fails survivability prior,Medical Devices
BITRF,Biotron Limited,0.0013,3620766.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $3.6M < $10M - fails survivability prior (shell/nano-cap),
BVAXF,BioVaxys Technology Corp.,0.0698,2837661.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $2.8M < $10M - fails survivability prior (shell/nano-cap),
BVS,Bioventus Inc. Class A Common Stock,14.08,961736448.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,18,44,,,,Medical Devices
BIVI,BioVie Inc. Class A Common Stock,2.09,17662899.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,exchange,health,20,5,25,binary-science-risk,,,
BTAI,BioXcel Therapeutics Inc. Common Stock,0.7422,23234941.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,exchange,health,20,5,25,binary-science-risk,,,
BIXT,"BIOXYTRAN, INC",0.0233999993652105,,,,,sec_only,unknown,8,0,8,enrich-if-viable,reject,sub-5-cent stock - chronic dilution profile,
BIPI,BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes,16.745,158690691.0,Bermuda,Consumer Discretionary,Marine Transportation,exchange,transport,16,15,31,commodity,,,
NTULF,BIPROGY Inc.,28.78,2780603648.0,,Technology,,otc,software:food,19,20,39,desc,,,Information Technology Services
BIQIF,BIQI International Holding Corporation,0.0001,803.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BIREF,Birchcliff Energy Ltd.,4.58,1256997760.0,,Energy,,otc,energy,20,18,38,,,,Oil & Gas E&P
BCHT,Birchtech Corp. Common Stock,1.3,34197756.0,,Industrials,Industrial Machinery/Components,exchange,infrastructure,21,9,30,,,,
BIRDF,Bird Construction Inc.,48.0,2659358208.0,,Industrials,,otc,shelter,18,20,38,,,,Engineering & Construction
BRWC,Birdie Win Corp,0.8444,5674368.0,,Consumer Defensive,,sec_only,services,10,2,12,,reject,market cap < $10M - fails survivability prior,Education & Training Services
BIRK,Birkenstock Holding plc Ordinary Shares,35.29,5827303739.0,,Consumer Discretionary,Shoe Manufacturing,exchange,clothing,7,20,27,,,,
BGI,Birks Group Inc. Common Stock,0.3925,7734320.0,Canada,Consumer Discretionary,Consumer Specialties,exchange,discretionary,6,2,8,,reject,market cap $7.7M < $10M - fails survivability prior (shell/nano-cap),
BETSF,Bit Brother Limited,0.0001,62.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BTBT,Bit Digital Inc. Ordinary Shares,1.58,569800935.0,United States,Finance,Finance: Consumer Services,exchange,finance,4,18,22,,,,
BTOG,Bit Origin Limited Class A Ordinary Shares,3.62,3012535.0,United States,Finance,Finance: Consumer Services,exchange,finance,4,2,6,,reject,market cap $3.0M < $10M - fails survivability prior (shell/nano-cap),
BIAI,Bitari Inc,,,,,,sec_only,unknown,8,0,8,enrich-if-viable,reject,no active trading market (no price data on any venue),
BTGGF,Bitcoin Group SE,63.2178,316088992.0,,,,otc,unknown,0,15,15,,reject,artificial scarcity (crypto),
BCBC,Bitcoin Bancorp,0.04488,20658880.0,,,,otc,unknown,0,0,0,,reject,artificial scarcity (crypto),
ARSC,Bitcoin Crypto Currency Exchange Corporation,0.0001,11697.0,,,,otc,unknown,0,0,0,,reject,artificial scarcity (crypto),
BTMCQ,Bitcoin Depot Inc.,,,,,,sec_only,unknown,0,0,0,,reject,artificial scarcity (crypto),
BTGN,Bitcoin Generation Inc.,0.0001,8453.0,,,,otc,unknown,0,0,0,,reject,artificial scarcity (crypto),
BIXI,Bitcoin Infrastructure Acquisition Corp Ltd. Class A Ordinary Shares,10.1,0.0,United States,,,exchange,unknown,0,2,2,,reject,blank-check SPAC - no operating business,
BTDR,Bitdeer Technologies Group Class A Ordinary Shares,11.29,3068421546.0,Singapore,Finance,Finance: Consumer Services,exchange,finance,4,20,24,,,,
FUFU,BitFuFu Inc. Class A Ordinary Shares,1.49,248313861.0,Singapore,Finance,Finance: Consumer Services,exchange,finance,4,15,19,,,,
BTGO,BitGo Holdings Inc. Class A Common Stock,7.1,834573916.0,United States,Finance,Finance: Consumer Services,exchange,finance,4,18,22,,,,
BMNP,BitMine Immersion Technologies Inc. 9.5% Series A Perpetual Preferred Stock,94.77,57167765359.0,,Finance,Finance: Consumer Services,exchange,finance,4,20,24,,,,
BMNR,BitMine Immersion Technologies Inc. Common Stock,24.82,14972079099.0,United States,Finance,Finance: Consumer Services,exchange,finance,4,20,24,,,,
BITTF,BITTERROOT RESOURCES LTD,0.0377999991178512,,,,,sec_only,unknown,8,0,8,enrich-if-viable,reject,sub-5-cent stock - chronic dilution profile,
BVC,BitVentures Limited Ordinary Shares,14.66,2462880000.0,China,Finance,Investment Managers,exchange,finance,2,20,22,,,,
BITW,Bitwise 10 Crypto Index ETF,,,,,,sec_only,unknown,0,0,0,,reject,artificial scarcity (crypto),
BAVA,Bitwise Avalanche ETF,,,,,,sec_only,unknown,0,0,0,,reject,closed-end fund/royalty trust - not an operating company,
BITB,Bitwise Bitcoin ETF,,,,,,sec_only,unknown,0,0,0,,reject,artificial scarcity (crypto),
CLNK,Bitwise Chainlink ETF,,,,,,sec_only,unknown,0,0,0,,reject,closed-end fund/royalty trust - not an operating company,
BWOW,Bitwise Dogecoin ETF,,,,,,sec_only,unknown,0,0,0,,reject,closed-end fund/royalty trust - not an operating company,
ETHW,Bitwise Ethereum ETF,,,,,,sec_only,unknown,0,0,0,,reject,closed-end fund/royalty trust - not an operating company,
BHYP,Bitwise Hyperliquid ETF,,,,,,sec_only,unknown,0,0,0,,reject,closed-end fund/royalty trust - not an operating company,
BSOL,Bitwise Solana Staking ETF,,,,,,sec_only,unknown,0,0,0,,reject,closed-end fund/royalty trust - not an operating company,
XRP,Bitwise XRP ETF,,,,,,sec_only,unknown,0,0,0,,reject,closed-end fund/royalty trust - not an operating company,
AIBZ,Bitzero Holdings Inc. Common Shares,6.19,349002414.0,Canada,Consumer Discretionary,Services-Misc. Amusement & Recreation,exchange,discretionary,3,15,18,gambling-risk,,,
BZRT,"BizRocket.com, Inc.",0.0001,,,,,otc,unknown,8,0,8,enrich-if-viable,reject,sub-5-cent stock - chronic dilution profile,
BJRI,BJ's Restaurants Inc. Common Stock,65.34,1390027805.0,United States,Consumer Discretionary,Restaurants,exchange,food-service,8,18,26,,,,
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,94.37,12050481553.0,United States,Consumer Discretionary,Department/Specialty Retail Stores,exchange,retail,4,20,24,,,,
BKTI,BK Technologies Corporation Common Stock,76.76,289338300.0,United States,Technology,Radio And Television Broadcasting And Communications Equipment,exchange,infrastructure,15,15,30,,,,
BKV,BKV Corporation Common Stock,24.04,2630885433.0,United States,Energy,Oil & Gas Production,exchange,energy,8,20,28,commodity,,,
BKWAF,BKW AG,165.96,8757784576.0,,Utilities,,otc,energy,24,20,44,,,,Utilities - Renewable
BBBT,"Black Bird Biotech, Inc.",0.0001,178543.0,,,,otc,health,20,0,20,,reject,market cap $0.2M < $10M - fails survivability prior (shell/nano-cap),
BLCAF,Black Cat Syndicate Limited,0.82345,600235776.0,,,,otc,unknown,8,18,26,enrich-if-viable,,,
BDTX,Black Diamond Therapeutics Inc. Common Stock,2.24,128696393.0,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),exchange,health,20,15,35,binary-science-risk,,,
BDGR,"Black Dragon Resource Companies, Inc.",0.0001,3495277.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $3.5M < $10M - fails survivability prior (shell/nano-cap),
BKHA,Black Hawk Acquisition Corporation Class A Ordinary Shares,11.89,0.0,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),exchange,unknown,0,2,2,,reject,blank-check SPAC - no operating business,
BKH,Black Hills Corporation Common Stock,73.02,5568004096.0,United States,Utilities,Electric Utilities: Central,exchange,energy,22,20,42,utility-slow-growth,,,Utilities - Regulated Gas
LQRCF,Black Mammoth Metals Corporation,2.9685,136059328.0,,Basic Materials,,otc,materials,8,15,23,commodity,,,Other Industrial Metals & Mining
BRCB,Black Rock Coffee Bar Inc. Class A Common Stock,9.15,458165013.0,United States,Consumer Discretionary,Restaurants,exchange,food-service,8,15,23,,,,
BKRP,Black Rock Petroleum Company,0.01,2000000.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $2.0M < $10M - fails survivability prior (shell/nano-cap),
BIII,Black Spade Acquisition III Co Class A Ordinary Shares,10.02,0.0,,Finance,Blank Checks,exchange,REJECT,0,2,2,spac,reject,blank-check SPAC - no operating business,
LOMEF,Black Spruce Exploration Inc.,0.02926,808475.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.8M < $10M - fails survivability prior (shell/nano-cap),
BSM,"Black Stone Minerals, L.P.",15.0,3190658560.0,,Energy,,sec_only,energy,8,20,28,commodity,,,Oil & Gas E&P
BTTC,Black Titan Corporation Ordinary Shares,0.521,5613578.0,Malaysia,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),exchange,health,20,2,22,binary-science-risk,reject,market cap $5.6M < $10M - fails survivability prior (shell/nano-cap),
BLKB,Blackbaud Inc. Common Stock,47.42,2152398336.0,United States,Technology,Computer Software: Prepackaged Software,exchange,software,12,20,32,desc,,,Software - Application
BB,BlackBerry Limited Common Stock,7.79,4565722112.0,Canada,Technology,Computer Software: Prepackaged Software,exchange,software:water,22,20,42,desc,,,Software - Infrastructure
BBRDF,Blackbird plc,0.0238,11430462.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,sub-5-cent stock - chronic dilution profile,
BLRZF,Blackhawk Growth Corp.,0.011,97077.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.1M < $10M - fails survivability prior (shell/nano-cap),
BL,BlackLine Inc. Common Stock,31.63,1838502272.0,United States,Technology,Computer Software: Prepackaged Software,exchange,software,12,18,30,desc,,,Software - Application
BKMP,Blackout Media Corp.,1e-05,,,,,otc,discretionary,4,0,4,,reject,sub-5-cent stock - chronic dilution profile,
BPOL,"BlackPoll Fleet International, Inc.",0.0001,371.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BMN,BlackRock 2037 Municipal Target Term Trust Common Shares of Beneficial Interest,25.35,0.0,,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,2,2,fund,reject,closed-end fund/royalty trust - not an operating company,
BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,15.88,1717183800.0,United States,Finance,Finance/Investors Services,exchange,finance,3,18,21,,,,
BLK,BlackRock Inc. Common Stock,1176.64,182225364910.0,United States,Finance,Investment Bankers/Brokers/Service,exchange,finance,3,20,23,,,,
BHK,Blackrock Core Bond Trust,9.09,0.0,United States,Finance,Finance Companies,exchange,finance,4,2,6,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
HYT,Blackrock Corporate High Yield Fund Inc. Common Stock,8.3,0.0,United States,Finance,Finance Companies,exchange,finance,4,2,6,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BTZ,BlackRock Credit Allocation Income Trust,10.1,1092163500.0,United States,Finance,Finance/Investors Services,exchange,unknown,0,18,18,,reject,closed-end fund/royalty trust - not an operating company,
DSU,Blackrock Debt Strategies Fund Inc. Common Stock,9.42,0.0,United States,Finance,Finance Companies,exchange,finance,4,2,6,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BLW,Blackrock Limited Duration Income Trust,12.8,457104038.0,United States,Consumer Discretionary,Other Consumer Services,exchange,unknown,0,15,15,,reject,closed-end fund/royalty trust - not an operating company,
BGR,BlackRock Energy and Resources Trust,17.0,2304965298.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,20,20,fund,reject,closed-end fund/royalty trust - not an operating company,
BDJ,Blackrock Enhanced Equity Dividend Trust,9.8,1734405891.0,United States,Finance,Finance Companies,exchange,finance,4,18,22,,,,
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,12.48,0.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,2,2,fund,reject,closed-end fund/royalty trust - not an operating company,
BGY,Blackrock Enhanced International Dividend Trust,5.88,0.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,2,2,fund,reject,closed-end fund/royalty trust - not an operating company,
CII,BlackRock Enhanced Large Cap Core Fund Inc. Common Stock,24.35,3622366169.0,United States,Finance,Investment Bankers/Brokers/Service,exchange,finance,3,20,23,,,,
ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,15.5,1676092500.0,United States,Finance,Finance/Investors Services,exchange,finance,3,18,21,,,,
FRA,Blackrock Floating Rate Income Strategies Fund Inc  Common Stock,10.94,1627461433.0,United States,Finance,Investment Bankers/Brokers/Service,exchange,finance,3,18,21,,,,
BGT,BlackRock Floating Rate Income Trust,10.95,0.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,unknown,0,2,2,,reject,closed-end fund/royalty trust - not an operating company,
BMEZ,BlackRock Health Sciences Term Trust Common Shares of Beneficial Interest,17.01,226794636.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,15,15,fund,reject,closed-end fund/royalty trust - not an operating company,
BME,Blackrock Health Sciences Trust,46.19,615852101.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,18,18,fund,reject,closed-end fund/royalty trust - not an operating company,
BKT,BlackRock Income Trust Inc. (The),10.47,1557543071.0,United States,Finance,Investment Bankers/Brokers/Service,exchange,unknown,0,18,18,,reject,closed-end fund/royalty trust - not an operating company,
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,12.02,0.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,unknown,0,2,2,,reject,closed-end fund/royalty trust - not an operating company,
MUA,Blackrock MuniAssets Fund Inc Common Stock,9.99,1486137085.0,United States,Finance,Investment Bankers/Brokers/Service,exchange,finance,3,18,21,,,,
BTT,BlackRock Municipal 2030 Target Term Trust,22.56,0.0,United States,Finance,Investment Managers,exchange,finance,2,2,4,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
MUC,Blackrock MuniHoldings California Quality Fund Inc.  Common Stock,10.63,1581345067.0,United States,Finance,Investment Bankers/Brokers/Service,exchange,finance,3,18,21,,,,
MHD,Blackrock MuniHoldings Fund Inc. Common Stock,11.47,1706305542.0,United States,Finance,Investment Bankers/Brokers/Service,exchange,finance,3,18,21,,,,
MUJ,Blackrock MuniHoldings New Jersey Quality Fund Inc. Common Stock,12.27,1825315519.0,United States,Finance,Investment Bankers/Brokers/Service,exchange,finance,3,18,21,,,,
MIY,Blackrock MuniYield Michigan Quality Fund Inc. Common Stock,12.64,1880357633.0,United States,Finance,Investment Bankers/Brokers/Service,exchange,finance,3,18,21,,,,
MPA,Blackrock MuniYield Pennsylvania Quality Fund Common Stock,11.045,0.0,United States,Finance,Finance Companies,exchange,finance,4,2,6,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
MQY,Blackrock MuniYield Quality Fund Inc. Common Stock,11.15,1658701552.0,United States,Finance,Investment Bankers/Brokers/Service,exchange,finance,3,18,21,,,,
MYI,Blackrock MuniYield Quality Fund III Inc Common Stock,10.78,1603659437.0,United States,Finance,Investment Bankers/Brokers/Service,exchange,finance,3,18,21,,,,
MYN,Blackrock MuniYield New York Quality Fund Inc.Common Stock,9.77,0.0,United States,Finance,Finance Companies,exchange,finance,4,2,6,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BCX,BlackRock Resources Common Shares of Beneficial Interest,13.21,1120974312.0,United States,Finance,Finance/Investors Services,exchange,finance,3,18,21,,,,
BSTZ,BlackRock Science and Technology Term Trust Common Shares of Beneficial Interest,30.24,670052779.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,18,18,fund,reject,closed-end fund/royalty trust - not an operating company,
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,49.55,1097920477.0,United States,Finance,Finance Companies,exchange,finance,4,18,22,,,,
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,15.91,0.0,United States,Finance,Finance Companies,exchange,finance,4,2,6,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
TCPC,BlackRock TCP Capital Corp. Common Stock,4.18,350713600.0,United States,Finance,Finance/Investors Services,exchange,finance,3,15,18,,,,
BTX,BlackRock Technology and Private Equity Term Trust Common Shares of Beneficial Interest,8.86,1034053184.0,United States,Financial Services,,exchange,finance,2,18,20,,,,Asset Management
BUI,BlackRock Utility Infrastructure & Power Opportunities Trust,26.88,0.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,2,2,fund,reject,closed-end fund/royalty trust - not an operating company,
BHV,BlackRock Virginia Municipal Bond Trust,12.71,0.0,United States,Finance,Finance/Investors Services,exchange,finance,3,2,5,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BKSYW,BlackSky Technology Inc.,0.0007,,,,,otc,unknown,8,0,8,enrich-if-viable,reject,sub-5-cent stock - chronic dilution profile,
BKSY,BlackSky Technology Inc. Class A Common Stock,25.21,1031715368.0,United States,Technology,Radio And Television Broadcasting And Communications Equipment,exchange,infrastructure,15,18,33,,,,
BEGI,"BlackStar Enterprise Group, Inc.",0.0001,297870.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.3M < $10M - fails survivability prior (shell/nano-cap),
BX,Blackstone Inc. Common Stock,143.41,107647147599.0,United States,Finance,Investment Managers,exchange,finance,2,20,22,,,,
BXDC,Blackstone Digital Infrastructure Trust Inc. Common Stock,20.68,2081440035.0,,Finance,Real Estate,exchange,shelter,8,20,28,rent-extraction-risk,,,
BGX,Blackstone Long Short Credit Income Fund Common Shares,10.75,0.0,,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,2,2,fund,reject,closed-end fund/royalty trust - not an operating company,
BLSTF,Blackstone Minerals Limited,0.031,53371456.0,,,,otc,unknown,8,6,14,enrich-if-viable,reject,sub-5-cent stock - chronic dilution profile,
BXMT,Blackstone Mortgage Trust Inc. Common Stock,14.03,2364666582.0,United States,Real Estate,Real Estate Investment Trusts,exchange,shelter,8,20,28,rent-extraction-risk,,,
BSTT,"Blackstone Real Estate Income Trust, Inc.",,,,,,sec_only,unknown,0,0,0,,reject,closed-end fund/royalty trust - not an operating company,
BXSL,Blackstone Secured Lending Fund Common Shares of Beneficial Interest,24.83,0.0,,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,2,2,fund,reject,closed-end fund/royalty trust - not an operating company,
BSL,Blackstone Senior Floating Rate 2027 Term Fund Common Shares of Beneficial Interest,12.94,0.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,2,2,fund,reject,closed-end fund/royalty trust - not an operating company,
BGB,Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest,11.21,0.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,2,2,fund,reject,closed-end fund/royalty trust - not an operating company,
BDCC,Blackwell 3D Construction Corp.,0.0003,12749.0,,,,otc,shelter,18,0,18,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BLX,Bladex Inc. Class E Common Stock,54.58,2052148999.0,Panama,Finance,Commercial Banks,exchange,finance,5,20,25,,,,
BZAI,Blaize Holdings Inc. Common Stock,0.4723,68404172.0,United States,Technology,Semiconductors,exchange,infrastructure,22,12,34,,,,
PSQL,Bleichroeder Acquisition France Merger Sub 2,,,,,,sec_only,unknown,8,0,8,enrich-if-viable,reject,no active trading market (no price data on any venue),
BBCQ,Bleichroeder Acquisition Corp. II Class A Ordinary Shares,10.25,0.0,United States,,,exchange,unknown,0,2,2,,reject,blank-check SPAC - no operating business,
BCCQ,Bleichroeder Acquisition Corp. III Class A Ordinary Shares,10.01,0.0,United States,Finance,Blank Checks,exchange,unknown,0,2,2,,reject,blank-check SPAC - no operating business,
BLND,Blend Labs Inc. Class A Common Stock,1.48,350039712.0,United States,Technology,Computer Software: Programming Data Processing,exchange,software,12,15,27,desc,,,Software - Application
BAGGF,Blende Silver Corp.,0.1476,12809188.0,,,,otc,unknown,8,5,13,enrich-if-viable,,,
BLNK,Blink Charging Co. Common Stock,0.5929,85934165.0,United States,Miscellaneous,Industrial Machinery/Components,exchange,infrastructure,21,12,33,,,,
BSQKZ,"Block, Inc.",81.0,48664395776.0,,Technology,,otc,software,12,20,32,desc,,,Software - Infrastructure
XYZ,Block Inc. Class A Common Stock,82.72,49697763328.0,United States,Technology,Computer Software: Prepackaged Software,exchange,software,12,20,32,desc,,,Software - Infrastructure
BXNS,BLOCKCHAIN INSTITUTE OF TECHNOL,0.1,,,,,otc,unknown,0,0,0,,reject,artificial scarcity (crypto),
BLDC,"Blockfusion Digital Infrastructure, Inc.",,,,,,sec_only,shelter,18,0,18,,reject,no active trading market (no price data on any venue),
BKLIF,Blockmint Technologies Inc.,0.0018,86836.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.1M < $10M - fails survivability prior (shell/nano-cap),
BLQC,BlockQuarry Corp.,0.0028,691886.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.7M < $10M - fails survivability prior (shell/nano-cap),
BLVDF,BLOK Digital Ltd.,0.1,3116970.0,,,,otc,unknown,8,2,10,enrich-if-viable,reject,market cap $3.1M < $10M - fails survivability prior (shell/nano-cap),
BLPFF,BLOK Technologies Inc.,1e-05,1193.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BDRLQ,"Blonder Tongue Laboratories, Inc.",0.0002,2894.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BE,Bloom Energy Corporation Class A Common Stock,217.45,64044974080.0,United States,Energy,Industrial Machinery/Components,exchange,infrastructure,21,20,41,,,,Electrical Equipment & Parts
BLBRF,Bloomberry Resorts Corporation,0.021,242031024.0,,,,otc,discretionary,4,9,13,,reject,sub-5-cent stock - chronic dilution profile,
TULP,Bloomia Holdings Inc. Common Stock,3.2,15272182.0,United States,Consumer Staples,Farming/Seeds/Milling,exchange,food,27,5,32,,,,
BLMN,Bloomin' Brands Inc. Common Stock,11.04,945254924.0,United States,Consumer Discretionary,Restaurants,exchange,food-service,8,18,26,,,,
BLMS,"Bloomios, Inc.",0.0003,19341.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BGAUF,Blossom Gold Inc.,1.3,,,,,otc,unknown,8,0,8,enrich-if-viable,reject,OTC with no market cap data - dark/non-reporting,
BLSM,BlossomHill Therapeutics Inc. Common Stock,18.42,535674976.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,exchange,health,20,18,38,binary-science-risk,,,Biotechnology
BACC,Blue Acquisition Corp. Class A Ordinary Shares,10.48,0.0,United States,Finance,Blank Checks,exchange,unknown,0,2,2,,reject,blank-check SPAC - no operating business,
BAMIF,Blue Ant Media Corporation,4.25,117670048.0,,,,otc,discretionary,4,15,19,,,,
BIOF,"BLUE BIOFUELS, INC.",0.104,33713576.0,,Basic Materials,,sec_only,infrastructure,16,9,25,,,,Specialty Chemicals
BLBD,Blue Bird Corporation Common Stock,58.65,1856072448.0,United States,Consumer Discretionary,Construction/Ag Equipment/Trucks,exchange,transport,23,18,41,,,,Farm & Heavy Construction Machinery
BCCG,Blue Chip Capital Group Inc.,,,,,,sec_only,finance,4,0,4,,reject,no active trading market (no price data on any venue),
BLDV,"Blue Diamond Ventures, Inc.",0.0001,487058.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.5M < $10M - fails survivability prior (shell/nano-cap),
BDCO,BLUE DOLPHIN ENERGY CO,7.6,113406952.0,,Energy,,sec_only,energy,20,15,35,,,,Oil & Gas Refining & Marketing
BERI,"Blue Earth Resources, Inc.",0.0002,23080.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BUENF,Blue Energy Limited,0.0025,7529934.0,,,,otc,energy,20,0,20,,reject,market cap $7.5M < $10M - fails survivability prior (shell/nano-cap),
BGEM,Blue Gem Enterprise,8e-05,12556.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap),
BGL,Blue Gold Limited Class A Ordinary Shares,0.2023,8261481.0,United Kingdom,Basic Materials,Metal Mining,exchange,materials,8,2,10,commodity,reject,market cap $8.3M < $10M - fails survivability prior (shell/nano-cap),
BHATF,Blue Hat Interactive Entertainment Technology,0.0010000000474974,,,,,sec_only,discretionary,4,0,4,,reject,sub-5-cent stock - chronic dilution profile,
CBIA,"Blue Heaven Coffee, Inc",0.0001,278772.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.3M < $10M - fails survivability prior (shell/nano-cap),
MOOIF,Blue Horizon Global Capital Corp.,0.0011,376787.0,,,,otc,finance,4,0,4,,reject,market cap $0.4M < $10M - fails survivability prior (shell/nano-cap),
JAYGF,Blue Jay Gold Corp.,0.56697,26969478.0,,Basic Materials,,sec_only,materials,3,9,12,no-durable-need,,,Gold
BLNH,"Blue Line Holdings, Inc.",,,,,,sec_only,unknown,8,0,8,enrich-if-viable,reject,no active trading market (no price data on any venue),
BLPG,"Blue Line Protection Group, Inc.",0.05,412507.0,,Industrials,,sec_only,software:transport,18,0,18,,reject,market cap < $10M - fails survivability prior,Security & Protection Services
BLUMY,Blue Moon Group Holdings Limited,1.85,2145605248.0,,Consumer Defensive,,otc,health-adjacent,12,20,32,,,,Household & Personal Products
BMM,Blue Moon Metals Inc. Common Shares,5.84,612399936.0,Canada,Basic Materials,,exchange,materials,8,18,26,commodity,,,Other Industrial Metals & Mining
BLNMF,Blue Note Mining Inc.,1e-05,1270092.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $1.3M < $10M - fails survivability prior (shell/nano-cap),
OWL,Blue Owl Capital Inc. Class A Common Stock,11.79,18381697309.0,United States,Finance,Investment Managers,exchange,finance,2,20,22,,,,
OTF,Blue Owl Technology Finance Corp. Common Stock,11.18,5122512649.0,United States,,,exchange,finance,4,20,24,,,,
