ticker,company,price,marketCap,country,sector,industry,listing,need,need_score,viability,r1_score,flag,status,reason,y_industry,summary,y_ind,revGrowth,grossM,revenue,verdict,reason_r2,totalCash,totalDebt,freeCashflow,operatingCashflow,totalRevenue,revenueGrowth,grossMargins,operatingMargins,debtToEquity,sharesOutstanding,floatShares,fullTimeEmployees,earningsGrowth,r3_fin_score,r3_notes,r3_cut
VPG,Vishay Precision Group Inc. Common Stock,64.45,857249408.0,United States,Technology,Electrical Products,exchange,energy,24,18,42,,,,Scientific & Technical Instruments,"Vishay Precision Group, Inc. engages in the precision measurement and sensing technologies business in the United States, Europe, Israel, Asia, and Canada. It operates through three segments: Sensors, Weighing Solutions, and Measurement Systems. The company offers precision resistors, strain gages, load cells and force measurement transducers, vehicle weighing and over-load monitoring systems, and control process weighing products; rolling force measuring load cell systems and pressure transmitters; web tension measurement load cells and systems; optical strip width gages; and laser velocimeters for speed and length measurements and closed-loop crop optimization control systems for optimal strip cuts. The company also offers thermal-mechanical simulation systems for metallurgical research; conditioning, data acquisition, and control systems; and data acquisition systems and sensors for product safety testing, as well as electronic displays, signal processors, micro-electromechanical system sensors, cabling, system software, and communications software/hardware. Its products are used in waste management, bulk hauling, logging, scales manufacturing, engineering systems, pharmaceutical, oil, chemical, steel, paper, and food industries, as well as test and measurement, steel, medical, construction, agricultural, and consumer markets. The company offers its products under the VFR, Alpha Electronics, Powertron, APR, Celtron, Revere, Sensortronics, Tedea-Huntleigh, Stress-tek, Vulca",Scientific & Technical Instruments,0.117,0.38749,328588000.0,B,precision sensing components unclear differentiation,75702000.0,39253000.0,6487000.0,2846000.0,328588000.0,0.117,0.38749,0.00518,11.802,12278113.0,10852687.0,2100.0,,19,,
VLXGF,Volex plc,8.6,1573996032.0,,Industrials,,otc,energy,24,18,42,,,,Electrical Equipment & Parts,"Volex plc manufactures and sells power and connectivity in North America, Europe, and Asia. It provides integrated manufacturing services, such as high level assembly, box build, electromechanical assemblies and systems, wiring harness and cable assembly, printed circuit board assembly, video display systems, and embedded systems; electric vehicle charging solutions; copper interconnect cables and data transfer cables; and data center power cables and power cords. The company also offers power cords, plugs, connectors, receptacles, as well as custom wiring harness and cable assemblies, including battery cables, busbars, commercial wiring harnesses, consumer wiring harnesses, fuse boxes, wiring harnesses, and wires and cables. Its products are used in complex industrial technology, consumer electricals, electric vehicle, medical, and off-highway. The company sells its products to original equipment manufacturers, contract equipment manufacturers, and distributors. Volex plc was founded in 1892 and is headquartered in Basingstoke, the United Kingdom.",Electrical Equipment & Parts,0.159,0.23040001,1242599936.0,B,power and EV cabling assembly limited differentiation,54100000.0,206400000.0,6037500.0,69800000.0,1242599936.0,0.159,0.23040001,0.09352,45.735,183022776.0,130164686.0,12500.0,0.297,19,,
VLTAF,Voltalia SA,8.54,1118253952.0,,Utilities,,otc,energy,24,18,42,,,,Utilities - Renewable,"Voltalia SA engages in the production and sale of energy generated by the wind, solar, hydropower, biomass, and storage plants. The company operates through two segments, Energy Sales, and Services. It offers development, operations, and maintenance services to renewable energy projects, including equipment procurement and construction. As of December 31, 2024, the company operated solar power plant with an installed capacity of 126 MW. It operates in Africa, the Middle East, Asia, other Europe, Brazil, and Latin America. The company was incorporated in 2005 and is headquartered in Paris, France. Voltalia SA operates as a subsidiary of Voltalia Investissement SA.",Utilities - Renewable,0.176,0.69784,587870976.0,B,multi-country renewables operator plus services small scale,316494016.0,2522118912.0,-382279008.0,194180992.0,587870976.0,0.176,0.69784,0.00061,237.895,130943092.0,30527061.0,1896.0,,16,runway 0.8y,
AEMMY,A2A S.p.A.,13.3,8321614848.0,,Utilities,,otc,energy,20,20,40,utility-slow-growth,,,Utilities - Diversified,"A2A S.p.A. engages in the production, sale, and distribution of gas and electricity, and district heating in Italy and internationally. It generates electricity through hydroelectric, thermoelectric, photovoltaic, and wind plants; and sells and distributes gas. The company also engages in the production and sale of heat produced through district heating networks; waste management activities, including collection and street sweeping, treatment, disposal, and recovery of materials and energy; and the construction and management of integrated waste disposal plants and systems. In addition, it offers integrated water cycle management services; and technical consultancy services relating to energy efficiency certificates. Further, the company is involved in the management of public lighting systems and street lights, and water purification and sewer activities, as well as offers garbage collection, street sweeping, video surveillance, energy efficiency, and electric mobility services. A2A S.p.A. is headquartered in Milan, Italy.",Utilities - Diversified,0.314,0.16499001,15534000128.0,A,circular waste-to-energy water and heat multi-utility growing,1596999936.0,7414000128.0,-214375008.0,1676000000.0,15534000128.0,0.314,0.16499001,0.065120004,113.764,625685326.0,284198789.0,15212.0,-0.131,18,thin gm 16%,
BEP,Brookfield Renewable Partners L.P.,32.95,16029202432.0,,Utilities,,sec_only,energy,20,20,40,,,,Utilities - Renewable,"Brookfield Renewable Partners L.P. owns a portfolio of renewable power generating facilities in the North America, Colombia, and Brazil. The company generates electricity through hydroelectric, wind, solar, distributed generation, and pumped storage; and offers sustainable solutions, such as renewable natural gas, carbon capture and storage, recycling, cogeneration, biomass, nuclear services, eFuels, and power transformation. It operates as the general partner of Brookfield Renewable Partners L.P. The company was formerly known as Brookfield Renewable Energy Partners L.P. and changed its name to Brookfield Renewable Partners L.P. in May 2016. The company was founded in 1999 and is based in Toronto, Canada.",Utilities - Renewable,0.011,0.51392,6359000064.0,B,global renewable asset owner yieldco structure,2686000128.0,37723000832.0,-11967500288.0,1058000000.0,6359000064.0,0.011,0.51392,0.17076,105.23,300111626.0,144203793.0,5870.0,,9,runway 0.2y - dilution imminent,
CGNWF,"CGN Power Co., Ltd.",0.355,17927006208.0,,Utilities,,otc,energy,20,20,40,,,,Utilities - Independent Power Producers,"CGN Power Co., Ltd. operates and manages nuclear power stations and sells the electricity generated by these stations in the People's Republic of China. It also provides construction, installation, design, and related technical services, as well as labor services. As of December 31, 2025, the company manages 28 nuclear power units with a total installed capacity of 31.838 GW. The company was incorporated in 2014 and is headquartered in Shenzhen, People's Republic of China. CGN Power Co., Ltd. operates as a subsidiary of China General Nuclear Power Corporation.",Utilities - Independent Power Producers,,0.0,,B,large nuclear fleet low-carbon but single-market SOE,,,,,,,0.0,0.0,,11163625000.0,,22928.0,,9,growth unknown; thin gm 0%,
DNGFF,Dongfang Electric Corporation Limited,2.8,9683408896.0,,Industrials,,otc,energy,20,20,40,,,,Specialty Industrial Machinery,"Dongfang Electric Corporation Limited engages in the design, development, manufacture, and sale of power generation equipment in China and internationally. The company operates in five segments: Renewable Energy Equipment, High-Efficient Clean Energy Equipment, Engineering and Supply Chain, Modern Manufacturing Services Business, and Emerging Growth Industries. It offers power generation equipment for wind, solar, hydro, nuclear, gas, and thermal power, including hydro-generating units, steam turbine generators, wind power units, power station steam turbines, and power station boilers. The company also provides engineering contracting and services to global energy operators; trade and logistics services; chemical containers; energy-saving and environmental protection equipment; power electronics and control systems; and hydrogen energy equipment. In addition, it offers science and technology promotion and application services, heat production, and research and experimental development services, as well as power generators, generating sets, and general equipment. The company was formerly known as Dongfang Electric Machinery Co., Ltd. and changed its name to Dongfang Electric Corporation Limited in January 2008. The company was founded in 1958 and is headquartered in Chengdu, the People's Republic of China. Dongfang Electric Corporation Limited operates as a subsidiary of Dongfang Electric Corporation.",Specialty Industrial Machinery,-0.021,0.14843,78056087552.0,B,power generation equipment maker mixed thermal exposure,29196421120.0,7729226752.0,-668237824.0,848618688.0,78056087552.0,-0.021,0.14843,0.096590005,15.782,408000000.0,1694364517.0,18753.0,0.38,8,revenue shrinking -2%; thin gm 15%,
ENAKF,E.ON SE,21.25,55553548288.0,,Utilities,,otc,energy,20,20,40,utility-slow-growth,,,Utilities - Diversified,"E.ON SE operates as an energy company in Germany, the United Kingdom, Sweden, the Netherlands, rest of Europe, and internationally. The company operates through Energy Networks, Energy Infrastructure Solutions, and Energy Retail segments. The Energy Networks segment operates power and gas distribution networks; and offers maintenance, repair, and related services for its power and gas networks. Its Energy Infrastructure Solutions provides integrated and sustainable energy solutions for cities, municipalities, and industrial and commercial customers comprising district heating and cooling; heat, steam, and electricity services; embedded solutions; products and services that enhance energy efficiency. This segment also installs smart energy meters, block-type thermal power stations, photovoltaic systems, air-conditioning systems, and heat pumps. Its Energy Retail segment supplies power and gas; installs customer connections and connects renewable energy generating stations to the grid; and offers a range of green power and green gas, and sustainable solutions that enhance energy efficiency for residential, small and medium-sized enterprises, commercial and industrial, and sales partners. It also provides digital solutions; biogas and biomethane products; and compressed natural gas refueling services, as well as solar and battery storage systems, heating systems, and charging infrastructure for electric vehicle. E.ON SE was founded in 1923 and is headquartered in Essen, Germany.",Utilities - Diversified,-0.005,0.24913,75225997312.0,B,multi-country distribution networks and efficiency solutions,4264999936.0,42794999808.0,-2655650048.0,7637000192.0,75225997312.0,-0.005,0.24913,0.050329998,152.987,2614284446.0,2139451962.0,78322.0,-0.132,7,revenue shrinking -0%,
EDPFY,EDP ENERGIAS DE PORTUGAL SA,54.73,22672443392.0,,Utilities,,sec_only,energy,20,20,40,,,,Utilities - Diversified,"EDP, S.A. engages in the generation, transmission, distribution, and supply of electricity in Portugal, Spain, France, Poland, Romania, Italy, Belgium, the United Kingdom, Greece, Colombia, Brazil, North America, and internationally. It operates through Renewables, Networks, and Client Solutions & Energy Management segments. The company generates and sells electricity through hydro, combined-cycle gas turbine, coal, wind, solar, nuclear, and cogeneration and waste sources. The company is also involved in the supply of natural gas. In addition, it offers engineering, laboratory tests, professional training, and energy services, as well as property management services. The company was formerly known as EDP - Energias de Portugal, S.A. and changed its name to EDP, S.A. in April 2024. The company was incorporated in 1976 and is headquartered in Lisbon, Portugal.",Utilities - Diversified,0.04,0.40550998,15715769344.0,B,multi-country utility with renewables platform,3207435008.0,24550586368.0,-948416000.0,3470640128.0,15715769344.0,0.04,0.40550998,0.13859999,145.948,413392162.0,254750770.0,11625.0,0.286,14,,
EDRVF,"EDP Renewables, S.A.",15.13,16033245184.0,,Utilities,,otc,energy,20,20,40,,,,Utilities - Renewable,"EDP Renewables, S.A. engages in the renewable energy business in Europe, North America, South America, and the Asia Pacific. The company is involved in the planning, construction, operation, and maintenance of power generation plants using renewable energy sources, including wind and solar power. It operates in Spain, Portugal, Belgium, France, Italy, Germany, the Netherlands, Poland, Romania, the United Kingdom, Hungary, Greece, the United States, Canada, Mexico, Brazil, Chile, South Korea, Singapore, Vietnam, Thailand, China, Taiwan, Australia, and Japan. EDP Renewables, S.A. was formerly known as EDP Renováveis, S.A. and changed its name to EDP Renewables, S.A. in April 2026. The company was incorporated in 2007 and is headquartered in Madrid, Spain. EDP Renewables, S.A. operates as a subsidiary of EDP, S.A.",Utilities - Renewable,,0.79120004,2200937984.0,B,global renewables developer operator,562057984.0,10154749952.0,-3186442240.0,897771008.0,2200937984.0,,0.79120004,0.1286,81.872,1059698965.0,303391814.0,2481.0,,9,growth unknown; runway 0.2y - dilution imminent,
ELCPF,"EDP, S.A.",5.04,20834963456.0,,Utilities,,otc,energy,20,20,40,utility-slow-growth,,,Utilities - Diversified,"EDP, S.A. engages in the generation, transmission, distribution, and supply of electricity in Portugal, Spain, France, Poland, Romania, Italy, Belgium, the United Kingdom, Greece, Colombia, Brazil, North America, and internationally. It operates through Renewables, Networks, and Client Solutions & Energy Management segments. The company generates and sells electricity through hydro, combined-cycle gas turbine, coal, wind, solar, nuclear, and cogeneration and waste sources. The company is also involved in the supply of natural gas. In addition, it offers engineering, laboratory tests, professional training, and energy services, as well as property management services. The company was formerly known as EDP - Energias de Portugal, S.A. and changed its name to EDP, S.A. in April 2024. The company was incorporated in 1976 and is headquartered in Lisbon, Portugal.",Utilities - Diversified,0.04,0.40550998,15715769344.0,B,multi-country utility with renewables platform,3207435008.0,24550586368.0,-948416000.0,3470640128.0,15715769344.0,0.04,0.40550998,0.13859999,145.948,4133921624.0,2547507695.0,11625.0,0.286,14,,
ENLAY,Enel SpA,11.12,110317780992.0,,Utilities,,otc,energy,20,20,40,utility-slow-growth,,,Utilities - Diversified,"Enel SpA operates as an integrated operator in the electricity and gas industries worldwide. The company operates through the Thermal Generation and Trading, Enel Green Power, Enel Grids, and End-User Markets segments. It operates renewable, nuclear, wind, hydroelectric, thermal, solar, and geothermal power plants. The company also generates, distributes, transmits, and sells electricity. In addition, it provides solutions and technologies for the electrification of cities, such as smart cities and street lighting; for businesses, including energy efficiency and demand response; and for individuals, including energy efficiency solutions for houses and apartment buildings. Further, the company engages in the sale of energy commodities. The company was founded in 1962 and is headquartered in Rome, Italy.",Utilities - Diversified,0.085,0.38202998,79497003008.0,B,global grids and renewables multi-country platform,4742000128.0,73377996800.0,-685750016.0,13331999744.0,79497003008.0,0.085,0.38202998,0.18218,147.743,9920663654.0,7525406225.0,61900.0,0.318,17,,
ENREF,Energix - Renewable Energies Ltd.,7.35,4258649600.0,,Utilities,,otc,energy,20,20,40,,,,Utilities - Renewable,"Energix - Renewable Energies Ltd., through its subsidiaries, engages in the development, financing, construction, management, and operation of facilities for the production and storage of clean electricity from renewable energy sources. It operates through Photovoltaic and Wind Energy segments. The company owns and operates photovoltaic systems, wind farms, and storage systems. It is also involved in the sale of electricity; and production and sale of green certificates. The company operates a total capacity of 1.7GW and 0.5GWh in commercially active storage projects; 1.9GW and 1.2GWh in storage projects under construction or in pre-construction; 0.9GW and 1.5GWh in storage projects in advanced stages of development; 5.8GW in the photovoltaic sector and in the wind energy sector; and 11.6GWh cubed in initiated projects in the storage sector. It has operations in Israel, Poland, Lithuania, and the United States. The company was formerly known as Amot Energy Ltd. and changed its name to Energix - Renewable Energies Ltd. in 2011. Energix - Renewable Energies Ltd. was incorporated in 2006 and is headquartered in Ramat Gan, Israel.",Utilities - Renewable,0.185,0.83648,,B,multi-region renewables and storage operator high margins,,,-2762609664.0,,,0.185,0.83648,0.0,306.215,579408125.0,292302401.0,295.0,0.303,18,,
ENGIY,Engie SA,29.59,75180089344.0,,Utilities,,otc,energy,20,20,40,utility-slow-growth,,,Utilities - Diversified,"Engie SA engages in renewables and decentralized and low-carbon energy networks in France, Europe, North America, Asia, the Middle East, Oceania, South America, Africa, and internationally. The Renewables & Flex Power segment comprises renewable energy generation activities, including financing, construction, operation, and maintenance of renewable energy, such as hydroelectric, onshore wind, photovoltaic solar, biomass, offshore wind, geothermal, and battery storage. It also offers flexible thermal generation and electricity, pumping, and battery storage facilities; solutions for decarbonizing industry with low-carbon hydrogen; and operation of desalination plants. The Networks segment comprises the gas and power infrastructure activities, including the management and development of gas and electricity transportation networks and natural gas distribution networks in and outside of Europe, natural gas underground storage, and regasification infrastructure. The Local Energy Infrastructures provides the construction and management of decentralized energy networks, including heating and cooling networks, distributed power generation plants, distributed solar power parks, low-carbon mobility, low-carbon cities and public lighting, energy efficiency, technical maintenance, and sustainable development consulting. The Supply & Energy Management segment optimizes the Group's energy assets, manages market and portfolio risks, and supplies natural gas, green and low-carbon gas, and ele",Utilities - Diversified,-0.036,0.32134,70584999936.0,B,decentralized low-carbon networks multi-country,14168000512.0,70157000704.0,-92625000.0,9132000256.0,70584999936.0,-0.036,0.32134,0.14741,143.77,2540726254.0,1809900000.0,84786.0,0.143,11,revenue shrinking -4%,
FELTY,"Fuji Electric Co., Ltd.",21.96,12823862272.0,,Industrials,,otc,energy,20,20,40,,,,Electrical Equipment & Parts,"Fuji Electric Co., Ltd., together with its subsidiaries, develops power semiconductors and electronics solutions in Japan and internationally. The company operates through Energy, Industry, Semiconductors, and Food and Beverage Distribution segments. The company also offers drivers and controls including AC drives, motors, servo systems, programmable logic controllers, and human machine interface; power supply products, which includes uninterruptible power systems, solar inverters, data centers, regulators, rectifiers, and formers; sensors and measurements, such as instrumentation and radiation monitoring systems; and monitoring and control systems. In addition, it provides distribution and controls, including LV and MV distributions, motor controls, and energy control equipment; transmission and distribution comprising oil-immersed transformers, shunt reactors, cast resin transformers, gas insulated switchgears, MV and LV switchgears, and control centers; and transit systems, which includes tunnel ventilation systems, marine environment protection systems, and electrical equipment for railcars. Further, the company offers thermal and geothermal power generation, nuclear power, and fuel cell; energy management including power system simulator, steel EMS solutions, and boiler combustion solutions; can and PET, multi-purpose, frozen, and coffee machine; and transformers, AC drives, UPS, monitoring and control system upgrades solutions, as well as beverage vending machines, vend",Electrical Equipment & Parts,0.102,0.28311002,1252937957376.0,A,power electronics and semiconductors raise energy efficiency,74585997312.0,67022999552.0,44868001792.0,163938992128.0,1252937957376.0,0.102,0.28311002,0.09020001,8.042,583964624.0,572759379.0,27419.0,0.903,17,,
FUWAY,"Furukawa Electric Co., Ltd.",12.53,17629620224.0,,Industrials,,otc,energy,20,20,40,,,,Electrical Equipment & Parts,"Furukawa Electric Co., Ltd. provides a wide range of products in the business fields of Optical Solutions, Digital Infrastructure Components, Energy Infrastructure, Automotive Systems and Metal Solutions worldwide. It operates through Infrastructure; Electrical and Electronic; Functional Products; and Services and Developments segments. The company offers optical fiber/optical active components, optical fiber cable, optical closure/optical termination box, optical connector and cord, optical fiber identifier, fusion splicer/optical connecting tool,  broadband system, router/network equipment, industrial infrastructure systems, and wireless products; tape for semiconductor process, cable conduit materials, heat insulator, fluorescent lamp and LED reflectors, polyethylene pipe, heat dissipation/cooling products, aluminum blank material for hard disk drives, copper foil, and optical devices and components; and power cable, cable-related equipment/connection and terminal products, industrial machine-related equipment, power distribution products, metal communication cable, wiring materials, fire prevention products, and submarine water pipe. It also provides wire harness, sliding door harness, BUS harness, corrosion-proof terminal for aluminum wire, connector for automobile, steering roll connector, metal core printed-circuit-board, and lead battery status detection sensor; copper alloy wire/oxygen-free copper wire, insulated and special wires, copper and copper alloy products, p",Electrical Equipment & Parts,0.243,0.17959,1379066052608.0,B,cables optical and energy infrastructure mixed portfolio,62554001408.0,352839991296.0,,,1379066052608.0,0.243,0.17959,0.06971,77.557,1406992904.0,1301398087.0,49112.0,3.319,14,thin gm 18%,
HMDPF,Hammond Power Solutions Inc.,170.16,2025741952.0,,Industrials,,otc,energy,20,20,40,,,,Electrical Equipment & Parts,"Hammond Power Solutions Inc., together with its subsidiaries, engages in the design, manufacture, and sale of various transformers in Canada, the United States, Mexico, and India. It offers buck-boost, control, distribution, drive isolation, encapsulated, furnace, multi-pulse, pad mounted, and regulating transformers; and active harmonic filters, autotransformers, dV/dT filters, and reactors, as well as medium voltage distribution and unitized substations products. The company also offers DC power supplies. It serves renewable energy, commercial infrastructure, industrial, off-shore drilling, mining and construction, petro-chemical, power grid infrastructure, and EV charging industries. Hammond Power Solutions Inc. was founded in 1917 and is headquartered in Guelph, Canada.",Electrical Equipment & Parts,0.447,0.30323,1062075008.0,A,transformers for grid and data centers strong growth,33631000.0,94749000.0,30896876.0,34867000.0,1062075008.0,0.447,0.30323,0.07078,24.57,9126624.0,8681309.0,,-0.295,23,,
HRASF,Hera S.p.A.,4.1,6044515840.0,,Utilities,,otc,energy,20,20,40,utility-slow-growth,,,Utilities - Diversified,"Hera S.p.A., a multi-utility company, engages in the waste management, water services, and energy businesses in Italy. It is involved in the sale and distribution of methane and natural gas, as well as in the district heating and heating management business; generation, distribution, and sale of electricity; aqueduct, purification, and sewage services related to water cycle; waste collection, treatment, recycling, and disposal services; and provision of public lighting, telecommunications, and other services. The company's water services include activities related to water collection, drinking water treatment, and distribution for civil and industrial applications, as well as sewerage and sewage treatment activities. It also offers environmental services comprising sweeping, waste collection, transport, and recovery and disposal, and technical call center services. The company serves residential and business customers, as well as consumer associations. Hera S.p.A. was founded in 2002 and is based in Bologna, Italy.",Utilities - Diversified,0.217,0.18302,12672600064.0,A,circular waste water and energy multi-utility growing,1353299968.0,5829199872.0,16400000.0,1271100032.0,12672600064.0,0.217,0.18302,0.04754,133.318,1474272103.0,93468851.0,11209.0,0.085,19,,
IRDEY,Iren SpA,28.95,3714504448.0,,Utilities,,otc,energy,20,20,40,utility-slow-growth,,,Utilities - Diversified,"Iren SpA, together with its subsidiaries, operates as a multi-utility company in Italy. The company produces and distributes electricity from hydroelectric, thermoelectric, cogeneration, and other renewables, as well as distributes natural gas. It distributes electrical energy through 7,939 kilometers of medium and low voltage networks to approximately 734,000 connected users; and natural gas through its network of approximately 9,578 kilometers of high, medium, and low-pressure pipes to approximately 934,000 customers. The company also operates integrated water cycle, which includes 24,000 kilometers of pipeline networks that serve 3 million residents; 13,000 kilometers of sewerage networks; and operates treatment plants. In addition, it is involved in the provision of services related to street lighting systems, traffic light systems, heating systems, and electrical and special systems; collection and disposal of waste; snow clearing services; and analysis laboratories, telecommunications, and other services. It operates 27 hydroelectric plants, 24 thermoelectric cogeneration systems, and 1 thermoelectric plant, as well as 113 photovoltaic production plants with an installed capacity of 228 MW. Iren SpA is based in Reggio Emilia, Italy.",Utilities - Diversified,0.028,0.33008,6279331840.0,B,multi-utility with water and waste but regional slow,329976000.0,4780769792.0,602321280.0,1097489024.0,6279331840.0,0.028,0.33008,0.06284,129.504,128307573.0,60480353.0,11598.0,0.155,16,,
JELCF,Johnson Electric Holdings Limited,3.12,2891375616.0,,Consumer Cyclical,,otc,energy,20,20,40,,,,Auto Parts,"Johnson Electric Holdings Limited, an investment holding company, manufactures and sells motion systems the Americas, the Asia-Pacific, Europe, the Middle East, Africa, and the People's Republic of China. The company offers AC motors; actuators (automotive); blowers; cargo bikes; DC motors; EC motors (brushless); eDrives; EV chargers; flat flexible cable (FFC); flex circuits and microelectronics; gearmotors and gearboxes; haptic motion products; motorized drive rollers; piezo motors and subsystems; piezo stages; powder metal components; pumps and valves; solenoids; starters; steerable wheel; and stepper motors, as well as switches and relays. It provides solutions to automotive, bikes, building automation, business machines, circuit breakers, digital security, floor care, food and beverage, home technologies, humanoid robots, HVAC, industrial and warehouse automation, laboratory equipment, large appliances, lawn and garden, liquid cooling, medical devices, optronics, personal care, power tools, powersports, robotics, smart meters, specialty vehicles, and ventilations sectors. The company was founded in 1959 and is headquartered in Sha Tin, Hong Kong.",Auto Parts,0.013,0.23023,3650417920.0,B,motors and motion systems unclear differentiation,906566976.0,383512992.0,130522000.0,471089984.0,3650417920.0,0.013,0.23023,0.02365,13.309,926723034.0,291102229.0,30000.0,-0.482,14,,
KELRF,"Keisei Electric Railway Co., Ltd.",6.27,3023640064.0,,Industrials,,otc,energy,20,20,40,,,,Railroads,"Keisei Electric Railway Co., Ltd. engages in the operation of railway and bus transportation in Japan. It operates through Transportation, Distribution, Real Estate, Leisure and Service, Construction, and Other segments. The company operates railways, buses, taxis, and other transportation services. It also sells products through retail and department stores. In addition, the company is involved in real estate leasing and sales, as well as brokering, managing, and renovating; operates hotels, restaurants, movie theaters, advertising agencies, and travel agencies; and undertake civil engineering and construction work. Further, it builds and maintains other facilities, including residential buildings; and engages in rail car maintenance and insurance agency businesses. As of March 31, 2026, the company operates 762 passenger cars and 91 stations. Keisei Electric Railway Co., Ltd. was incorporated in 1909 and is headquartered in Ichikawa, Japan.",Railroads,0.04,0.27007,335729000448.0,B,efficient rail transport but mixed retail property conglomerate,42956001280.0,413402005504.0,,,335729000448.0,0.04,0.27007,0.13903,71.229,482239218.0,453816038.0,13231.0,0.212,10,,
MIELF,Mitsubishi Electric Corporation,36.5,74694909952.0,,Industrials,,otc,energy,20,20,40,,,,Electrical Equipment & Parts,"Mitsubishi Electric Corporation develops, manufactures, sells, and distributes electrical and electronic equipment. It operates through Infrastructure, Industry & Mobility, Life, Digital Innovation, Semiconductor & Device, and Others segments. The company offers public utility systems comprising rolling stock and communication systems, and supervisory control and power supply systems; energy systems consisting of supervisory control, power transmission and distribution systems, substation equipment, and power demand and supply optimization solutions; and defense and space systems, including missile and radar systems, command and control systems, electric warfare and satellite systems, and satellite data solutions. It also provides factory automation (FA) systems, such as control and drive products, processing machines, power distribution control equipment, and FA digital solutions; automotive equipment comprising electric vehicle-related equipment, ADAS-related products, vehicle control systems, and powertrain products; building systems consisting of elevators, escalators, and building management systems; and air conditioning and refrigeration systems, lighting, ventilation, and home equipment and appliances. In addition, the company offers information systems and network services related to manufacturing dx solutions; IT infrastructure; and security solutions. Further, it provides semiconductor and device products, including power and high-frequency devices, and optical devi",Electrical Equipment & Parts,0.14,0.32464,6078959976448.0,B,grid rail automation strengths but defense-inclusive conglomerate,929147977728.0,337983012864.0,172597002240.0,771125018624.0,6078959976448.0,0.14,0.32464,0.09318,7.163,2046435776.0,2003343097.0,150000.0,,21,,
NGGTF,National Grid plc,16.53,83093020672.0,,Utilities,,otc,energy,20,20,40,,,,Utilities - Regulated Electric,"National Grid plc engages in the transmission and distribution of electricity and gas. It operates through UK Electricity Transmission, UK Electricity Distribution, New England, New York, National Grid Ventures, and Other segments. The UK Electricity Transmission segment provides electricity transmission networks in England and Wales. The UK Electricity Distribution segment offers electricity distribution services in east and west Midlands, Southwest of England, and South Wales. The New England segment provides electricity and gas supply and distribution, and high-voltage electricity transmission services in New England. The New York segment offers electricity and gas distribution, and electricity transmission services in New York. The National Grid Ventures segment provides transmission services through electricity interconnectors and LNG importation at the Isle of Grain. The Other segment engages in the leasing and sale of commercial property, as well as insurance activities in the United Kingdom. The company was founded in 1990 and is headquartered in London, the United Kingdom.",Utilities - Regulated Electric,0.02,1.0,17686999040.0,B,multi-country transmission networks but slow growth,2828000000.0,47705001984.0,-3125125120.0,7829000192.0,17686999040.0,0.02,1.0,0.32602,121.294,5026800385.0,4929023340.0,33026.0,0.144,11,runway 0.9y,
NPIFF,Northland Power Inc.,15.35,4014056448.0,,Utilities,,otc,energy,20,20,40,,,,Utilities - Renewable,"Northland Power Inc. operates as a power producer in Canada, the Netherlands, Germany, Colombia, Spain, the United States, and internationally. The company produces electricity from renewable resources, such as offshore and onshore wind; solar; natural gas; and battery energy storage for sale under power purchase agreements and other revenue arrangements. As of December 31, 2025, it owned or had a net economic interest in 3,014 MW of power-producing facilities with a total gross operating capacity of approximately 3,498 MW and a regulated utility. The company was founded in 1987 and is headquartered in Toronto, Canada.",Utilities - Renewable,-0.005,0.69897,2551502080.0,B,multi-country offshore wind operator flat growth,679222016.0,6826437120.0,871899520.0,1293543040.0,2551502080.0,-0.005,0.69897,0.234,150.359,261502044.0,261311148.0,1139.0,,14,revenue shrinking -0%,
ODERF,"Odakyu Electric Railway Co., Ltd.",11.4,3905340672.0,,Industrials,,otc,energy,20,20,40,,,,Railroads,"Odakyu Electric Railway Co., Ltd., together with its subsidiaries, engages in transportation, real estate, lifestyle services, and other businesses in Japan. The company offers transportation services through railroads, buses, taxis, shipping, cableways, and other tourism-related vehicles; real estate sales and rental services; and lifestyle services, such as department stores, stores, retail, hotels, and restaurants. It is also involved in building management. Odakyu Electric Railway Co., Ltd. was founded in 1923 and is headquartered in Tokyo, Japan.",Railroads,0.035,0.29308,422202998784.0,B,rail transport core but mixed property retail,40584998912.0,682223992832.0,,,422202998784.0,0.035,0.29308,0.16062,133.921,342573752.0,337531101.0,11656.0,-0.165,10,,
RWEOY,RWE Aktiengesellschaft,67.98,53023391744.0,,Utilities,,otc,energy,20,20,40,utility-slow-growth,,,Utilities - Diversified,"RWE Aktiengesellschaft generates and supplies electricity from renewable and conventional sources in Germany, the United Kingdom, rest of Europe, North America, and internationally. It operates through five segments: Offshore Wind; Onshore Wind/Solar; Flexible Generation; Supply & Trading; and Phaseout Technologies. The company generates wind, hydro, solar, gas, lignite, and biomass electricity. It also trades in electricity, gas, and energy commodities; operates gas storage facilities; and engages in battery storage activities, as well as lignite mining and refining. The company serves commercial, industrial, and municipal customers. RWE Aktiengesellschaft was founded in 1898 and is headquartered in Essen, Germany.",Utilities - Diversified,-0.091,0.39005002,15966999552.0,B,large multi-country renewables but lignite legacy,12824000512.0,23977000960.0,-11109499904.0,6144000000.0,15966999552.0,-0.091,0.39005002,0.04645,50.366,779985169.0,636290767.0,19702.0,1.374,7,revenue shrinking -9%; runway 1.2y,
