ticker,gate,A,B,C1,C2,D_rep,D_inhib,D_exit,E,F_clock,F_now,total,stock,loop,coupling,clock_label,evidence,note,batch,calc,jx,v2_adj,v1,delta
DLEGF,pass,17,14,4,3,4,4,2,2,4,4,58,Grid headroom and electrical energy lost in AC-DC power conversion,amplifying,shrinks,years,High-efficiency Delta products saved customers over 45.5 billion kWh from 2010-2023; 800V HVDC architecture lifts AI data center power efficiency by over 4 points to ~92%; 80 Plus Titanium PSUs above 96% vs ~93% for two-stage,Gate pass: FCF +THB 6.1B; net cash THB 13.9B. A=17: grid interconnection headroom is unambiguously load-bearing and out of range in 2026. Moat is power-electronics manufacturing scale so no -3. B=14 at the top of the mixed band: efficiency gains are quantified but ~50% of revenue is data-center power and networking that enables the incremental load it makes efficient - Jevons across segments; Mobility/EV is the genuinely corrective slice. C1=4: cheaper watts per unit of compute pull more compute. C2=3: revenue is coupled to the AI capex cycle continuing and to power scarcity commanding a premium. E=2: hyperscaler customer concentration; production concentrated in Thai plants; 63.78%-owned regional manufacturing hub for Delta Taiwan (related-party dependency). Momentum very strong: Q2 2026 revenue $2011M +50.7% YoY after Q1 record $1945M +56.2%. Jurisdiction: taiwan-linked -2 applies after total (effective 56); total column left as component sum per format.,05,58,-2,56,78,-22
MBRFF,pass,18,20,9,7,4,5,2,7,5,4,81,hazardous waste accumulated in Polish landfills and 360+ illegal dumps,neutral,survives,years,Q1 2026 waste processed 82.9kt vs 73.2kt Q1 2025; H1 2025 incineration sales +36% on +20% volume,Poland ring-fenced PLN 300m/yr eco-bomb remediation through 2027; >60% of Polish waste still landfilled across ~800 sites so stock is harmfully accumulating; 5 plants (Karsy Skarbimierz Walbrzych Jedlicze Niecew) so no single-site dependence; EU landfill-diversion rules mean revenue grows as the system rebalances; permit moat is earned by building compliant capacity not by blocking substitution so no -3; incinerators are long-lived assets and it owns a landfill hence low clean-exit,06,81,0,81,78,3
ENGCF,pass,17,22,8,7,6,5,3,6,5,3,82,skilled excavator operator-hours and installed earthmoving machine capacity,neutral,survives,years,independent 2025 study 21.2% productivity gain from tiltrotator plus auto-dig; engcon up to 20% diesel cut and ~113000 kg CO2 saved over a 7-year machine life,Q2 2026 record net sales SEK 1132m +16% (organic +18%) and order intake SEK 1044m +7% (organic +10%); Q1 2026 Americas order intake negative on tariff uncertainty which caps F_now; one machine replaces two is the rubric's own top-band example; moat is manufacturing difficulty not substitution-blocking so no -3; concentrated production in Stromsund is the main buffer weakness offset by 15 sales companies and a global reseller base; steel attachments are repairable and retrofittable so exit is clean,06,82,0,82,77,5
CRMD,pass,18,17,10,3,5,5,4,4,5,4,75,infection-free catheter days in hemodialysis plus reserve antimicrobial effectiveness,damping,shrinks,years,LOCK-IT-100 71% CRBSI reduction (2.3% vs 8%; 0.13 vs 0.46 per 1000 catheter days); real-world data through Sept 2025 showed 72% CRBSI and 70% CRBSI-hospitalization reduction,B cut from top band because the Aug 2025 Melinta acquisition ($300m) made roughly 40% of revenue hospital treatment antibiotics plus Toprol-XL which are neutral not corrective — FY26 consolidated guidance $325-345m of which DefenCath only $175-195m; C2 is the binding problem: revenue is tied to catheter-dependent hemodialysis and a rebalanced system (fistula-first; earlier nephrology referral; home dialysis) directly shrinks the addressable population; E held down by five LDOs controlling the dialysis channel and single-source manufacture though Melinta's hospital channel diversified it; Q1 2026 DefenCath revenue $97.5m and >3000 patients/month at USRC give strong dated momentum,06,75,0,75,77,-2
DAR,pass,14,14,8,2,3,3,1,5,4,4,58,animal byproduct material in circulation and carbon in liquid transport fuel,neutral,shrinks,years,Q2 2026 Diamond Green Diesel sold 348.8m gallons of renewable fuel at $2.23/gal EBITDA; raw material processed 368000 mmt vs 338000 in Q2 2025,COUPLING TEST FAILS AS THE RUBRIC PREDICTED — feedstock is literally the throughput of industrial animal agriculture and management confirmed on the Q1 2026 call that the US cattle herd is at a 75-year low and stagnant with poultry offsetting volume but yielding less fat; a protein system rebalancing toward smaller herds or regenerative pasture shrinks Darling's inputs directly and this is already visible in the tallow squeeze; C1 is not self-damping either since success never reduces the byproduct stream and byproduct credits mildly subsidize packer economics; A capped at near-balance because developed-market rendering already handles nearly all byproduct — nothing is accumulating; B mixed because feed ingredients sells protein meal back into the CAFO system while fuel displaces fossil diesel; D_exit 1 because DGD's three large single-purpose refineries strand if the RVO/45Z credit regime shifts and Q2 2026 EBITDA tripling traced to the April 1 2026 RVO finalization shows how policy-manufactured the correction is,06,58,0,58,76,-18
CERS,pass,17,22,9,7,5,3,3,5,5,4,80,pathogen-free transfusable blood supply and usable platelet shelf-life,neutral,survives,years,France and Switzerland national hemovigilance: 310362 INTERCEPT-treated platelet transfusions with zero septic reactions and zero deaths vs ~2.5m untreated transfusions with 62 septic reactions and 11 deaths,GATE PASSES — ~$80.4m cash and short-term investments against only ~$2.7-3.0m/quarter of operating cash use is many years of runway; nine consecutive positive adjusted-EBITDA quarters; term loan cut $30m in a 2026 refinancing; three-year dilution well under 25%; D_inhib held at 3 because it still posts a net loss ($2.94m in Q2 2026) and burns operating cash; C2 strong because pathogen reduction is applied prophylactically to every unit as insurance against unknown emerging pathogens so it survives and grows in a rebalanced system; E limited by North America at ~two-thirds of product revenue and the BCA agreement covering members that are >half of US blood distributions plus BARDA as a single government counterparty; Q2 2026 product revenue $57.4m +10% and FY26 guidance raised to $229-231m,06,80,0,80,75,5
BMBRF,pass,10,5,7,5,6,5,4,8,5,4,59,affordable household food basket access under high inflation,neutral,neutral,years,none,No physical accumulation is drained or corrected — this is a distributor selling into the existing food system rather than changing a flow so B sits in the neutral band with no quantified basket-cost correction available; A only 10 because food affordability is load-bearing in Turkey but BIM touches it indirectly as a retailer; the structural strengths are real and among the best in the batch — 14473 stores with 890 net adds in 2025 and 800+ planned for 2026 is textbook cell division; zero customer concentration and regionally distributed logistics across Turkey Morocco and Egypt give the best buffer score here; leased small-format stores exit cleanly; but D and E carry only 25 of 100 points under v2 so the weak stock and flow dominate; C2 neutral because hard discount holds share in stable economies too even though trade-down amplifies growth,06,59,0,59,74,-15
YMM,pass,14,22,7,6,4,5,4,6,5,4,77,utilized fraction of China road-freight truck capacity — the idle and empty-mile share,neutral,survives,years,Q2 2026 fulfillment rate hit a record 47% up 6.3pp YoY and fulfilled orders rose 12.7% to 68.5m; empty-mile rate 39% -> 35% is the rubric's own cited example,A includes a -3 substitution-blocking adjustment: after the Yunmanman/Huochebang merger YMM is effectively the single national gateway to load access for Chinese owner-operators who pay membership fees to see freight — that is single-source control of a load-bearing stock; JURISDICTION PENALTY china-vie -6 applies after the total giving 71 adjusted (Cayman holdco with Group VIEs per the FY2025 20-F); C2 held at 6 not 7 because transaction commissions grow as matching improves (transaction services +33.1% YoY and now 52% of revenue) but the credit/financing segment does depend on truckers staying undercapitalized; D_rep only 4 because it scales as one national entity swelling rather than replicating units into new geographies; asset-light so nothing strands,06,77,-6,71,74,-3
MHGVY,pass,12,14,7,5,4,4,2,6,4,4,62,ocean edible-protein production capacity and forage fish biomass,neutral,neutral,years,FIFO 0.56 kg wild fish per 1 kg salmon; FCR ~1.2; Norway monthly mortality 0.7% vs land protein,Record Q2 2026 harvest 150k t +7.4% and EBIT +23%; flow is mixed because escapes (14500 in June 2026; 27000 in a cage sinking) and RSPCA Loch Harport suspension drain wild-salmon genetics and coastal benthos while feed FIFO improves protein efficiency; Norwegian licence scarcity is a substitution-blocking moat so A takes -3; FCF only $22M on $6.1B revenue,07,62,0,62,74,-12
ATRC,pass,18,22,10,5,5,5,3,6,5,4,83,untreated left atrial appendage clot source in cardiac surgery patients and post-surgical opioid exposure,damping,neutral,years,LAAOS III: ischemic stroke or systemic embolism 7.0% -> 4.8% over ~3.8 years; 33% relative reduction; 42% beyond 30 days,One-time permanent device removes the treated patient from the risk pool so the loop is genuinely self-damping; moat is evidence-won (LAAOS III / CONVERGE / LeAAPS 6500 patients fully enrolled) so no A penalty; Q2 2026 revenue $153.6M +12.8% with net income $9.0M and adj EBITDA $27.3M +78%; pain franchise +27%; FY26 guide $602-610M; MIS ablation shrinking as PFA substitutes,07,83,0,83,74,9
CODYY,pass,18,18,9,5,4,5,2,9,4,3,77,energy lost through the installed building envelope and embodied carbon in construction materials,damping,neutral,decade,979 Mt CO2 avoided over the full life cycle of solutions sold in 2025; insulation offsets its own production emissions within 3 months of use,Insulation is structurally self-damping (a renovated envelope does not need redoing for decades) and the 1%/yr EU renovation rate means the stock is far outside range; buffer is the standout - ~75 countries with hundreds of local plants and no customer concentration so a central node failure does not stop supply; B capped at 18 because avoided-CO2 is self-reported lifecycle modelling and abrasives/ceramics/mortar segments are neutral to the stock; H1 2026 returned to growth in every region with EBITDA margin guided >15%,07,77,0,77,74,3
LEGH,pass,18,22,9,3,6,5,3,5,5,4,80,US housing units priced under $150k reachable by sub-median-income households,damping,shrinks,years,Manufactured homes $55-65/sq ft vs site-built $168/sq ft nationally; ~48-65% cheaper per square foot delivered,Adds units to a stock short by 1.2M-10M homes (White House April 2026 puts it at 10M+) at roughly a third of site-built cost; factory-built home is the cleanest replication unit in the batch; coupling scored 3 because the finance segment - the source of the unusual ~40% operating margin - earns spread on buyers who cannot get conventional mortgages and shrinks if credit access normalises; Q2 2026 record net income $23.5M +59.9% on revenue $66.3M and 718 homes shipped; only 3 plants and 2 of them in Texas,07,80,0,80,74,6
SHLS,pass,13,19,7,3,4,2,2,2,4,4,60,grid-connected utility-scale solar and storage capacity; copper and field labour hours consumed per MW installed,neutral,shrinks,years,BLA cuts PV wiring installation labour 43% and DC wiring O&M cost 60% versus combiner-box homerun wiring (vendor-measured),Gate passes despite negative FCF - Q2 2026 total liquidity $67.2M with the revolver temporarily expanded $50M and net debt/adj EBITDA only 1.6x so the 0.4y raw cash figure is misleading; A takes -3 because defensibility rests on a BLA connector patent thicket enforced through ITC actions rather than on doing the job better; coupling 3 because revenue exists only while new plants are being built - there is no installed-base annuity; buffer is the killer - manufacturing consolidated into one 638k sq ft Tennessee mega-plant in May 2026 plus Alabama with top customer 19.1% of 2025 revenue; momentum is real with record backlog $801.4M and book-to-bill 1.3,07,60,0,60,72,-12
DMTRF,fail,14,18,8,6,5,4,3,2,5,4,69,intra-procedural bleeding control capacity achieved without plasma-derived or thermal haemostasis,damping,neutral,years,RCT n=101 in oesophageal/colonic ESD: heat therapy use 99.6% -> 49.3%; complete wound healing at 4 weeks 48.8% vs 25.0%; no difference in delayed bleeding,GATE FAIL - shares outstanding up 34.84% year over year (127.98M current) so three-year dilution is far above the 25% threshold; the company is otherwise newly viable with FY04/26 revenue JPY10.886B and operating profit JPY1.335B versus a prior-year loss and net cash JPY2.23B; A held at 14 because the RCT shows no delayed-bleeding reduction so the load-bearing link is to thermal tissue injury and plasma-free haemostasis rather than to blood supply itself; buffer 2 - 129 employees and essentially one product family with outsourced manufacture,07,69,0,69,72,-3
ADMA,pass,18,22,7,3,4,5,2,1,5,3,70,US immune globulin grams and high-titer plasma available to primary immunodeficiency patients,neutral,shrinks,years,FDA-approved yield enhancement process lifts IG output >20% from the same starting plasma volume (approved April 2025; initial runs delivered >20%),More medicine from an unchanged scarce donation is the cleanest magnitude-per-unit story in the batch; loop is neutral not damping because IVIG is lifelong chronic therapy that sustains rather than destroys its demand; coupling 3 because ASCENIV pricing power comes from IG scarcity and a subscale fractionator loses most if plasma supply rebalances; buffer 1 - a single Boca Raton fractionation plant carries 100% of output and the company cut its own collection centres from 10 to 7 in favour of ~280 third-party centres; gate passes comfortably on Q2 2026 sales $124.4M with net income $37.8M and a $200M 2026 buyback (negative dilution) but FY26 guidance was reset down from >$635M to $530-560M which caps F_now at 3,07,70,0,70,72,-2
SRTA,pass,18,17,10,7,3,2,3,8,5,4,77,usable transplantable organs and the transplant waitlist,damping,survives,years,Q2-2026 logistics revenue only +6.9% on explicitly shorter trip distances as local clinicians replace long-distance aviation while total revenue +60.7% to $72.5M; US kidney non-use ~28% of recovered kidneys with 90k+ waitlisted,Gate pass: $22.8M liquidity plus undrawn $30M ABL maturing 2029 and FY26 adj EBITDA guide $33-35M; 3-yr dilution ~17% (75.4M shares Mar-2024 to 88.5M now). Loop is genuinely self-damping - its own integrated model shrinks the air-miles it bills per organ. No moat penalty: defensibility is operational not substitution-blocking. E=8 on no single customer at 10% of revenue in Q1-2026 and a distributed regional network. D low: growth is a bolt-on rollup of local perfusion practices not replication of a standard unit.,08,77,0,77,72,5
BFLY,fail,17,22,7,7,6,2,3,7,5,4,80,installed point-of-care diagnostic imaging capacity in clinicians' hands,neutral,survives,years,Randomised trial: handheld vs cart-based POCUS diagnostic accuracy 92.5% vs 89.3% and sensitivity 92.9% vs 77.8% at $3899 per probe against $30k-100k+ per cart,GATE FAIL on dilution: 208.1M shares FY2023 to 266.3M at Q2-2026 (~+28%); FY2022 203.4M to FY2025 254.6M (+25.2%); trailing three years ~+29% - all above the 25% limit. Jan-2025 offering added 27.6M shares at $3.15. Runway prong passes: $124.7M cash vs FY26 adj EBITDA loss guide -$19M to -$23M. Scores 80 on the measures and would be T1 if it cleared the gate - flag for re-check once dilution rolls off. No moat penalty: chip is a manufacturing-difficulty moat in a contested market (GE; Philips; Clarius; Exo). E=7 - edge device works when the radiology node fails but chip is single-fab and the probe is subscription-gated.,08,80,0,80,72,8
BIRMF,pass,16,18,7,7,5,4,3,5,5,4,74,H2S and VOC load discharged into local airsheds by wastewater; organics and biogas facilities,neutral,survives,years,Full-scale biological H2S abatement reaches up to 99.7% removal by ambient microbial oxidation with no caustic/bleach or thermal-oxidiser fuel; Q2-2026 revenue $15.7M +66% YoY on a near-record $75.5M backlog,Gate pass: TTM net income C$6.22M; share count -1.1% YoY (net buyback); net cash C$4.69M; negative FCF is working capital on 66% growth not structural burn. A capped at 16 - biogas desulfurisation and municipal H2S are load-bearing but cannabis odour control is amenity. Coupling survives: a rebalanced system with more organics diversion and more anaerobic digestion enlarges the stream it treats. E=5 - deployed units are standalone and modular and replace a chemical supply chain but manufacturing is effectively one Guelph plant and 13 customers were 62% of 2024 revenue (12 were 56% in 2023).,08,74,0,74,71,3
WSIOF,pass,15,14,7,7,5,5,3,7,5,4,72,metered and observable capacity on electricity; water and gas networks,neutral,survives,years,H1-2026 turnover RMB5.39B +23% with International +92% to RMB2.39B and Digital Energy Services +98%; supplied 500k prepaid smart meters to Cote d'Ivoire CIE 2020-2022 - no company-published loss-reduction before/after,China-direct jurisdiction penalty -4 applies after the total: 72 becomes 68. A=15 because the stock is genuinely deficient overseas but already near balance in China where metering is a replacement cycle. B capped at 14 for mixed segment effect: data-centre orders +153% serve load growth and the AI energy-efficiency segment fell 22%. E=7 - six global production and R&D bases (Mexico; Brazil; Tanzania; Hungary; Indonesia; Malaysia) plus endpoint-distributed hardware offset by dependence on centralised State Grid and Southern Grid tenders. Momentum dated 27-Aug-2026 interim results.,08,72,-4,68,65,3
